time,lat,lon,hdop,quality
1751108025.1338751,37.5992005,127.0437438,1.15,5
1751108025.3802001,37.5992048,127.0437280,1.41,5
1751108025.7841895,37.5992102,127.0437063,1.41,5
1751108025.8975224,37.5992128,127.0436940,1.41,5
1751108026.2903693,37.5992177,127.0436770,1.75,5
1751108026.4950378,37.5992208,127.0436653,1.15,5
1751108026.6960223,37.5992240,127.0436528,1.15,5
1751108026.889729,37.5992272,127.0436407,1.15,5
1751108027.1060827,37.5992305,127.0436287,1.15,5
1751108027.3073137,37.5992335,127.0436168,0.9,5
1751108027.4133806,37.5992362,127.0436053,0.9,5
1751108028.13795,37.5992432,127.0435882,99.99,6
1751108028.4471233,37.5992678,127.0435577,1.08,2
1751108028.7045367,37.5992762,127.0435405,0.9,5
1751108028.900107,37.5992812,127.0435307,0.9,5
1751108029.1144543,37.5992867,127.0435203,0.9,5
1751108029.29853,37.5992923,127.0435097,0.9,5
1751108029.4256315,37.5992978,127.0434988,0.9,5
1751108029.9014363,37.5993105,127.0434838,0.9,5
1751108030.1116903,37.5993180,127.0434753,0.9,5
1751108030.3076751,37.5993255,127.0434663,0.9,5
1751108030.499145,37.5993335,127.0434582,0.97,5
1751108030.6968892,37.5993417,127.0434507,0.97,5
1751108030.899219,37.5993500,127.0434438,0.9,5
1751108031.0330937,37.5993587,127.0434372,0.9,5
1751108031.50389,37.5993737,127.0434283,0.96,5
1751108031.8913515,37.5993907,127.0434193,0.96,5
1751108032.100083,37.5993997,127.0434155,0.96,5
1751108032.2928753,37.5994087,127.0434120,1.22,5
1751108032.500738,37.5994177,127.0434093,1.22,5
1751108032.7116528,37.5994302,127.0434058,1.02,5
1751108033.0165641,37.5994428,127.0434030,0.96,5
1751108033.2181537,37.5994517,127.0434008,0.96,5
1751108033.7042818,37.5994668,127.0434007,1.07,5
1751108034.1075761,37.5994762,127.0434038,0.96,2
1751108034.6996505,37.5994833,127.0433942,0.96,2
1751108034.978148,37.5994943,127.0433922,1.06,2
1751108035.1947644,37.5995035,127.0433903,1.12,2
1751108035.4042265,37.5995138,127.0433898,1.06,2
1751108035.592232,37.5995245,127.0433895,1.03,2
1751108035.788398,37.5995350,127.0433883,1.03,5
1751108035.9934707,37.5995455,127.0433872,1.06,5
1751108036.2014315,37.5995562,127.0433860,1.12,5
1751108036.3193982,37.5995665,127.0433845,1.06,5
1751108036.6022968,37.5995757,127.0433828,1.03,5
1751108036.7883334,37.5995862,127.0433812,1.03,5
1751108036.9894984,37.5995963,127.0433808,1.06,5
1751108037.1955492,37.5996068,127.0433800,1.12,5
1751108037.3973987,37.5996173,127.0433790,1.06,5
1751108037.5928464,37.5996277,127.0433777,1.03,5
1751108037.7946734,37.5996380,127.0433765,0.9,5
1751108037.9111922,37.5996480,127.0433757,1.16,5
1751108038.2897453,37.5996632,127.0433743,1.46,5
1751108038.48982,37.5996743,127.0433737,1.56,5
1751108038.6877575,37.5996853,127.0433725,1.27,5
1751108038.8896074,37.5996965,127.0433715,1.16,5
1751108039.0965104,37.5997073,127.0433705,1.27,5
1751108039.2880578,37.5997182,127.0433695,1.46,5
1751108039.413851,37.5997287,127.0433677,1.2,5
1751108039.7886565,37.5997437,127.0433648,1.22,5
1751108039.9848866,37.5997543,127.0433642,1.2,5
1751108040.1887183,37.5997652,127.0433633,1.89,2
1751108040.3891447,37.5997757,127.0433623,1.31,2
1751108040.5846367,37.5997862,127.0433617,1.16,2
1751108040.7771027,37.5997965,127.0433610,4.88,2
1751108040.906147,37.5998067,127.0433603,1.27,5
1751108041.290584,37.5998215,127.0433583,1.18,5
1751108041.4857504,37.5998315,127.0433582,1.02,5
1751108041.6901658,37.5998415,127.0433577,0.9,5
1751108041.8921735,37.5998515,127.0433573,0.96,5
1751108042.0949962,37.5998613,127.0433572,1.0,5
1751108042.299252,37.5998708,127.0433567,1.1,5
1751108042.4082088,37.5998798,127.0433565,0.96,5
1751108042.7893646,37.5998937,127.0433555,0.93,5
1751108042.9807267,37.5999032,127.0433552,0.96,5
1751108043.1953938,37.5999125,127.0433550,0.96,5
1751108043.400638,37.5999222,127.0433548,0.93,5
1751108043.5912676,37.5999318,127.0433543,0.92,5
1751108043.7909114,37.5999423,127.0433548,0.96,5
1751108043.9038646,37.5999530,127.0433550,1.1,5
1751108044.2948358,37.5999682,127.0433548,1.16,5
1751108044.4957445,37.5999785,127.0433558,1.2,5
1751108044.6941345,37.5999890,127.0433567,1.2,5
1751108044.892775,37.5999997,127.0433570,1.44,2
1751108045.1036818,37.6000105,127.0433573,1.46,2
1751108045.301812,37.6000217,127.0433575,1.34,5
1751108045.4123235,37.6000328,127.0433578,1.71,5
1751108045.78232,37.6000493,127.0433580,1.39,5
1751108045.9912431,37.6000607,127.0433590,1.22,5
1751108046.2059603,37.6000722,127.0433597,1.34,5
1751108046.402788,37.6000837,127.0433603,1.2,5
1751108046.5891793,37.6000953,127.0433610,1.02,5
1751108046.7951431,37.6001068,127.0433618,1.29,5
1751108046.912531,37.6001182,127.0433625,1.2,5
1751108047.3095787,37.6001348,127.0433627,0.94,5
1751108047.4902468,37.6001465,127.0433637,0.96,5
1751108047.6960967,37.6001575,127.0433643,0.96,5
1751108047.895381,37.6001690,127.0433648,0.96,5
1751108048.1164768,37.6001805,127.0433655,0.9,5
1751108048.3001814,37.6001918,127.0433662,0.97,5
1751108048.4181294,37.6002030,127.0433663,0.97,5
1751108048.79506,37.6002202,127.0433672,0.94,5
1751108048.9962819,37.6002317,127.0433680,0.96,5
1751108049.1988864,37.6002430,127.0433683,1.25,5
1751108049.405397,37.6002545,127.0433690,0.9,5
1751108049.599111,37.6002658,127.0433695,1.02,5
1751108049.7890904,37.6002772,127.0433702,1.23,2
1751108049.9154723,37.6002885,127.0433705,1.25,2
1751108050.3019195,37.6003053,127.0433713,0.96,2
1751108050.497406,37.6003167,127.0433722,0.92,2
1751108050.7023213,37.6003280,127.0433727,1.0,5
1751108050.8998044,37.6003395,127.0433730,1.0,5
1751108051.113362,37.6003508,127.0433733,1.12,5
1751108051.3121002,37.6003623,127.0433738,1.07,5
1751108051.4203146,37.6003742,127.0433743,1.07,5
1751108051.802701,37.6003913,127.0433750,1.11,5
1751108051.993818,37.6004030,127.0433758,1.34,5
1751108052.2044637,37.6004147,127.0433765,1.29,2
1751108052.4117594,37.6004260,127.0433772,0.96,2
1751108052.6024442,37.6004378,127.0433778,0.96,2
1751108052.8040273,37.6004493,127.0433788,0.96,5
1751108052.91689,37.6004607,127.0433797,1.15,5
1751108053.3044853,37.6004775,127.0433805,1.49,2
1751108053.4924145,37.6004892,127.0433812,1.37,2
1751108053.6983688,37.6005002,127.0433822,1.37,2
1751108053.8932056,37.6005115,127.0433830,1.51,5
1751108054.1162362,37.6005230,127.0433837,1.1,5
1751108054.304426,37.6005342,127.0433848,1.0,2
1751108054.4239814,37.6005455,127.0433855,1.34,2
1751108054.795648,37.6005620,127.0433868,1.37,2
1751108055.0062892,37.6005732,127.0433880,1.89,5
1751108055.2147665,37.6005843,127.0433893,4.25,2
1751108055.400102,37.6005955,127.0433905,4.25,2
1751108055.6084588,37.6006065,127.0433918,0.93,2
1751108055.811627,37.6006177,127.0433932,1.0,2
1751108055.9262693,37.6006285,127.0433943,1.32,5
1751108056.316377,37.6006450,127.0433963,1.31,5
1751108056.499627,37.6006560,127.0433975,1.22,5
1751108056.7047756,37.6006668,127.0433987,1.13,5
1751108056.9132142,37.6006777,127.0433998,1.02,5
1751108057.1442847,37.6006883,127.0434013,1.02,5
1751108057.404224,37.6007048,127.0434030,1.12,5
1751108057.5515459,37.6007155,127.0434042,0.96,5
1751108057.8055978,37.6007250,127.0434040,1.07,5
1751108058.0060508,37.6007362,127.0434048,1.2,5
1751108058.211813,37.6007473,127.0434065,1.32,5
1751108058.4063208,37.6007582,127.0434080,1.53,5
1751108058.6014032,37.6007690,127.0434095,1.6,5
1751108058.8015368,37.6007798,127.0434110,1.89,5
1751108059.0025773,37.6007905,127.0434123,4.25,5
1751108059.1299765,37.6008015,127.0434138,1.25,5
1751108059.5025384,37.6008177,127.0434150,2.93,2
1751108059.7093565,37.6008285,127.0434168,1.03,2
1751108059.9066057,37.6008392,127.0434187,1.1,2
1751108060.117528,37.6008498,127.0434203,1.46,2
1751108060.313018,37.6008605,127.0434218,1.2,2
1751108060.499447,37.6008712,127.0434232,1.89,2
1751108060.6260953,37.6008820,127.0434250,2.32,2
1751108060.9915802,37.6008973,127.0434273,1.32,2
1751108061.2120302,37.6009078,127.0434290,1.2,2
1751108061.4131756,37.6009180,127.0434303,1.18,5
1751108061.5905645,37.6009285,127.0434308,1.8,2
1751108061.794526,37.6009388,127.0434322,1.54,2
1751108061.9883542,37.6009487,127.0434335,1.7,2
1751108062.1312187,37.6009590,127.0434350,2.32,2
1751108062.5092468,37.6009747,127.0434368,1.42,2
1751108062.7042055,37.6009852,127.0434385,1.18,2
1751108062.9042323,37.6009952,127.0434402,1.37,2
1751108063.1154706,37.6010055,127.0434420,99.99,6
1751108063.3268476,37.6010158,127.0434442,1.25,2
1751108063.51282,37.6010265,127.0434452,1.07,5
1751108063.6280243,37.6010370,127.0434473,1.5,2
1751108064.0107403,37.6010523,127.0434505,1.07,2
1751108064.2143466,37.6010627,127.0434525,1.81,2
1751108064.4309604,37.6010730,127.0434557,0.96,2
1751108064.6044028,37.6010832,127.0434577,0.93,2
1751108064.8089564,37.6010927,127.0434592,1.07,5
1751108065.008786,37.6011025,127.0434610,1.07,5
1751108065.1376333,37.6011127,127.0434632,1.11,2
1751108065.614291,37.6011305,127.0434668,1.04,5
1751108065.8108578,37.6011403,127.0434693,0.98,5
1751108066.0173383,37.6011500,127.0434718,1.0,5
1751108066.2229097,37.6011597,127.0434742,1.0,5
1751108066.42024,37.6011693,127.0434765,0.95,5
1751108066.6215265,37.6011790,127.0434787,0.95,5
1751108066.7292755,37.6011882,127.0434810,0.95,5
1751108067.1208723,37.6012022,127.0434848,1.63,5
1751108067.3091958,37.6012112,127.0434873,0.98,5
1751108068.0194216,37.6012388,127.0434938,1.2,5
1751108068.4334402,37.6012535,127.0434970,1.21,5
1751108068.6374977,37.6012657,127.0435010,1.07,5
1751108068.9336689,37.6012773,127.0435042,1.01,5
1751108069.239364,37.6012893,127.0435075,1.42,5
1751108069.7145648,37.6013052,127.0435137,0.81,5
1751108069.9140933,37.6013157,127.0435152,0.95,5
1751108070.1306992,37.6013255,127.0435177,0.95,5
1751108070.3168964,37.6013352,127.0435200,0.95,5
1751108070.5333028,37.6013452,127.0435225,0.95,5
1751108070.7220984,37.6013553,127.0435252,0.95,5
1751108070.9148123,37.6013660,127.0435277,0.9,5
1751108071.0633466,37.6013770,127.0435302,0.9,5
1751108071.32136,37.6013867,127.0435335,0.9,5
1751108071.530304,37.6013983,127.0435373,0.97,5
1751108071.7212105,37.6014107,127.0435407,0.95,5
1751108071.915877,37.6014230,127.0435438,1.03,5
1751108072.1353238,37.6014353,127.0435472,1.08,5
1751108072.3119187,37.6014480,127.0435502,1.44,5
1751108072.528266,37.6014605,127.0435537,1.2,5
1751108072.638311,37.6014732,127.0435573,1.08,5
1751108073.0091987,37.6014925,127.0435625,1.93,2
1751108073.2162197,37.6015060,127.0435662,6.06,2
1751108073.6209357,37.6015195,127.0435697,4.23,2
1751108073.8105745,37.6015470,127.0435770,4.23,2
1751108074.0039928,37.6015612,127.0435793,1.42,5
1751108074.218872,37.6015752,127.0435828,2.26,2
1751108074.3409822,37.6015890,127.0435858,1.18,2
1751108074.5850818,37.6016005,127.0435883,1.8,2
1751108074.7959473,37.6016143,127.0435925,8.43,2
1751108074.9965634,37.6016287,127.0435958,99.99,6
1751108075.2090778,37.6016427,127.0435995,1.89,2
1751108075.4089322,37.6016568,127.0436030,1.2,2
1751108075.6054645,37.6016712,127.0436070,1.71,2
1751108075.8083138,37.6016852,127.0436102,1.52,2
1751108075.936659,37.6016997,127.0436145,1.13,2
1751108076.323437,37.6017210,127.0436218,1.3,2
1751108076.5163717,37.6017355,127.0436273,1.3,2
1751108076.7155602,37.6017503,127.0436325,1.9,2
1751108076.9167178,37.6017647,127.0436378,1.21,2
1751108077.1340642,37.6017783,127.0436418,1.21,5
1751108077.3271885,37.6017922,127.0436462,1.04,5
1751108077.4422362,37.6018057,127.0436500,1.04,5
1751108077.7235546,37.6018173,127.0436537,0.9,5
1751108077.920032,37.6018315,127.0436578,1.09,5
1751108078.1256478,37.6018453,127.0436625,1.08,5
1751108078.3217564,37.6018588,127.0436668,1.12,2
1751108078.5202785,37.6018718,127.0436712,1.02,2
1751108078.7098072,37.6018850,127.0436752,1.12,2
1751108078.913439,37.6018980,127.0436793,0.96,2
1751108079.0387084,37.6019098,127.0436835,1.69,5
1751108079.411782,37.6019280,127.0436890,1.32,2
1751108079.626661,37.6019408,127.0436935,1.32,2
1751108079.8135254,37.6019532,127.0436982,1.01,2
1751108080.0102158,37.6019653,127.0437028,1.32,2
1751108080.2202075,37.6019778,127.0437073,1.12,5
1751108080.4166439,37.6019902,127.0437118,1.32,2
1751108080.5476992,37.6020023,127.0437170,1.32,2
1751108080.806041,37.6020120,127.0437210,1.0,2
1751108081.022096,37.6020247,127.0437258,0.96,2
1751108081.233571,37.6020370,127.0437305,1.07,5
1751108081.4324203,37.6020492,127.0437353,0.96,5
1751108081.6205645,37.6020615,127.0437400,0.96,5
1751108081.8125694,37.6020735,127.0437448,1.02,5
1751108082.0227633,37.6020855,127.0437498,1.21,5
1751108082.1612785,37.6020973,127.0437548,1.24,5
1751108082.4149454,37.6021070,127.0437587,1.34,2
1751108082.6179197,37.6021193,127.0437637,3.48,2
1751108082.8217716,37.6021322,127.0437692,1.01,2
1751108083.0216727,37.6021443,127.0437745,1.02,2
1751108083.2305973,37.6021565,127.0437793,1.07,5
1751108083.4264953,37.6021685,127.0437842,1.07,5
1751108083.6182847,37.6021808,127.0437892,1.11,5
1751108083.7397406,37.6021927,127.0437942,0.96,5
1751108084.1360278,37.6022107,127.0438013,1.37,2
1751108084.3266382,37.6022230,127.0438065,1.07,2
1751108084.5105584,37.6022352,127.0438113,1.13,2
1751108084.7184777,37.6022475,127.0438163,1.07,2
1751108084.919464,37.6022597,127.0438212,1.07,2
1751108085.1412578,37.6022718,127.0438263,1.12,2
1751108085.252247,37.6022830,127.0438308,1.01,5
1751108085.523577,37.6022937,127.0438345,1.77,5
1751108085.7196743,37.6023065,127.0438395,1.19,2
1751108085.922776,37.6023185,127.0438452,0.95,2
1751108086.1412063,37.6023307,127.0438505,1.56,2
1751108086.3091824,37.6023427,127.0438555,1.13,2
1751108086.5199718,37.6023547,127.0438605,1.24,2
