time,lat,lon,hdop,quality
1751108329.7289717,37.5991683,127.0437698,0.98,5
1751108331.6866026,37.5991732,127.0437497,0.9,5
1751108332.4085672,37.5991777,127.0437318,0.98,5
1751108332.8828838,37.5991818,127.0437152,0.98,5
1751108333.48613,37.5991875,127.0436930,0.98,5
1751108333.9926507,37.5991928,127.0436728,0.98,5
1751108334.5099967,37.5991985,127.0436518,0.9,5
1751108334.8899717,37.5992030,127.0436353,0.9,5
1751108335.2906375,37.5992080,127.0436190,0.9,5
1751108335.6891735,37.5992133,127.0436028,0.9,5
1751108336.1126964,37.5992192,127.0435870,0.9,5
1751108336.486161,37.5992258,127.0435713,0.9,5
1751108336.8914714,37.5992327,127.0435557,0.9,5
1751108337.2868998,37.5992408,127.0435417,0.9,5
1751108337.6882727,37.5992493,127.0435280,0.9,5
1751108338.2883193,37.5992637,127.0435102,0.9,5
1751108338.7908576,37.5992768,127.0434968,0.9,5
1751108339.2906196,37.5992912,127.0434852,0.9,5
1751108339.7893777,37.5993057,127.0434755,0.9,5
1751108340.2897632,37.5993203,127.0434675,0.9,5
1751108340.7872121,37.5993352,127.0434605,0.9,5
1751108341.291131,37.5993500,127.0434545,1.21,5
1751108341.8858647,37.5993683,127.0434478,0.95,5
1751108342.4915156,37.5993857,127.0434428,0.9,5
1751108342.9887216,37.5994002,127.0434392,0.95,5
1751108343.4891305,37.5994155,127.0434363,0.95,5
1751108343.9893951,37.5994307,127.0434340,0.95,5
1751108344.4892342,37.5994475,127.0434312,0.95,5
1751108344.888091,37.5994615,127.0434287,0.95,5
1751108345.2956047,37.5994760,127.0434267,0.95,5
1751108345.688184,37.5994912,127.0434243,0.95,5
1751108346.1150725,37.5995068,127.0434222,0.95,5
1751108346.487545,37.5995230,127.0434200,1.09,5
1751108346.8892114,37.5995398,127.0434180,1.09,5
1751108347.2852688,37.5995570,127.0434158,1.07,5
1751108347.688254,37.5995742,127.0434133,1.09,5
1751108348.1121826,37.5995917,127.0434112,0.95,5
1751108348.4893906,37.5996092,127.0434093,0.95,5
1751108348.8862753,37.5996265,127.0434072,1.21,5
1751108349.1900659,37.5996400,127.0434058,1.21,5
1751108349.6880152,37.5996622,127.0434037,1.3,5
1751108350.1149046,37.5996797,127.0434017,1.16,5
1751108350.485957,37.5996973,127.0433997,1.35,5
