gps_time,comp_time,lat,lon,alt,quality,hdop
04:11:33.900000,1749701494.071442,37.5987860,127.0448710,28.000,5,1.89
04:11:53.900000,1749701513.9553008,37.5987875,127.0448528,29.800,2,1.88
04:11:55.500000,1749701515.5555632,37.5987897,127.0448360,29.600,2,1.88
04:11:57.200000,1749701517.2595222,37.5987907,127.0448178,29.000,2,2.00
04:11:58.600000,1749701518.6558118,37.5987928,127.0448008,28.800,2,1.88
04:12:00.100000,1749701520.15492,37.5987938,127.0447828,28.400,2,1.88
04:12:01.500000,1749701521.5554566,37.5987945,127.0447657,28.500,5,1.88
04:12:02.900000,1749701522.9548776,37.5988002,127.0447495,28.600,2,1.88
04:12:04.300000,1749701524.3566806,37.5988103,127.0447382,28.100,2,1.88
04:12:05.600000,1749701525.6601894,37.5988220,127.0447293,28.300,5,1.88
04:12:07,1749701527.0588834,37.5988340,127.0447203,28.700,2,1.88
04:12:08.100000,1749701528.158302,37.5988422,127.0447063,29.100,2,1.88
04:12:09.600000,1749701529.660456,37.5988518,127.0446928,29.500,2,1.88
04:12:10.900000,1749701530.9547746,37.5988577,127.0446767,29.900,2,1.88
04:12:12.500000,1749701532.5552168,37.5988607,127.0446588,30.100,2,1.52
04:12:14.100000,1749701534.1554155,37.5988653,127.0446427,29.900,2,1.52
04:12:15.400000,1749701535.4558766,37.5988698,127.0446263,30.600,2,1.52
04:12:16.700000,1749701536.7574208,37.5988735,127.0446090,30.900,2,1.52
04:12:18.100000,1749701538.155652,37.5988783,127.0445922,31.300,2,1.52
04:12:19.500000,1749701539.5560374,37.5988812,127.0445738,31.700,5,1.52
04:12:21,1749701541.0618243,37.5988850,127.0445562,31.900,5,1.52
04:12:22.400000,1749701542.4570103,37.5988898,127.0445388,32.600,5,1.52
04:12:23.800000,1749701543.8566911,37.5988925,127.0445213,33.100,5,1.52
04:12:25.200000,1749701545.262945,37.5988967,127.0445045,33.200,5,1.52
04:12:26.600000,1749701546.65665,37.5989025,127.0444882,33.300,5,1.52
04:12:28,1749701548.059777,37.5989052,127.0444710,33.500,5,1.52
04:12:29.500000,1749701549.5560231,37.5989078,127.0444533,33.500,5,1.52
04:12:30.800000,1749701550.856619,37.5989115,127.0444368,33.400,5,1.52
04:12:32.100000,1749701552.1571646,37.5989157,127.0444205,33.200,2,1.52
04:12:33.400000,1749701553.4549692,37.5989193,127.0444033,33.100,2,1.52
04:12:34.700000,1749701554.7585604,37.5989228,127.0443865,33.200,2,1.52
04:12:36.100000,1749701556.1559374,37.5989272,127.0443695,33.400,2,1.52
04:12:37.400000,1749701557.4580355,37.5989327,127.0443532,33.300,5,1.52
04:12:38.700000,1749701558.757002,37.5989377,127.0443373,33.500,5,1.52
04:12:40.100000,1749701560.156043,37.5989428,127.0443212,33.500,2,1.52
04:12:41.500000,1749701561.5574524,37.5989448,127.0443042,33.600,5,1.52
04:12:42.900000,1749701562.9555933,37.5989465,127.0442873,33.600,5,1.87
04:12:44.400000,1749701564.4578288,37.5989507,127.0442708,33.800,5,1.52
04:12:45.900000,1749701565.956905,37.5989535,127.0442535,34.300,5,1.52
04:12:47.400000,1749701567.4571648,37.5989583,127.0442367,34.500,5,1.52
04:12:49.100000,1749701569.1585407,37.5989612,127.0442200,34.500,5,1.21
04:12:50.600000,1749701570.6591258,37.5989650,127.0442035,34.900,5,1.21
04:12:52.100000,1749701572.158711,37.5989688,127.0441867,35.300,5,1.21
04:12:53.600000,1749701573.6672325,37.5989730,127.0441698,35.500,5,1.21
04:12:55.200000,1749701575.2671072,37.5989762,127.0441530,35.500,5,1.21
04:12:56.700000,1749701576.757748,37.5989800,127.0441365,35.500,5,1.21
04:12:58.300000,1749701578.3616762,37.5989840,127.0441193,35.700,5,1.21
04:12:59.800000,1749701579.8584824,37.5989897,127.0441030,36.000,5,1.21
04:13:01.300000,1749701581.356851,37.5989940,127.0440863,36.200,5,1.21
04:13:02.600000,1749701582.6627877,37.5989962,127.0440695,36.600,5,1.21
04:13:04,1749701584.0613744,37.5989978,127.0440518,37.100,5,1.14
04:13:05.400000,1749701585.461815,37.5989988,127.0440348,37.500,5,1.14
04:13:06.800000,1749701586.8602972,37.5990002,127.0440178,37.900,5,1.14
04:13:08.200000,1749701588.2609255,37.5990013,127.0439998,38.300,5,1.14
04:13:09.600000,1749701589.67096,37.5990028,127.0439820,38.700,5,1.14
04:13:10.900000,1749701590.9611375,37.5990093,127.0439663,39.200,5,1.14
04:13:12.200000,1749701592.2719932,37.5990147,127.0439505,39.700,5,1.14
04:13:13.500000,1749701593.5620363,37.5990193,127.0439335,40.400,5,1.14
04:13:14.800000,1749701594.8582246,37.5990248,127.0439172,40.900,5,1.14
04:13:16,1749701596.065968,37.5990307,127.0439012,41.200,5,1.14
04:13:17.300000,1749701597.3614857,37.5990345,127.0438843,41.100,5,1.14
04:13:18.600000,1749701598.6602423,37.5990393,127.0438673,40.900,5,1.14
