gps_time,comp_time,lat,lon,alt,quality,hdop
04:11:33.900000,1749701494.071442,37.5987860,127.0448710,28.000,5,1.89
04:11:54.300000,1749701514.3550386,37.5987882,127.0448483,29.800,2,2.00
04:11:56.600000,1749701516.6610284,37.5987903,127.0448250,29.000,2,2.00
04:11:58.500000,1749701518.5547712,37.5987928,127.0448022,28.900,2,1.88
04:12:00.400000,1749701520.455041,37.5987935,127.0447787,28.600,2,1.88
04:12:02.300000,1749701522.3552918,37.5987970,127.0447562,28.600,2,1.88
04:12:04.200000,1749701524.260811,37.5988095,127.0447385,28.200,2,1.88
04:12:06,1749701526.058879,37.5988257,127.0447268,28.500,5,1.88
04:12:07.800000,1749701527.8577595,37.5988398,127.0447115,29.300,2,1.88
04:12:09.600000,1749701529.660456,37.5988518,127.0446928,29.500,2,1.88
04:12:11.400000,1749701531.4581945,37.5988587,127.0446708,30.100,2,1.88
04:12:13.600000,1749701533.6567438,37.5988635,127.0446482,29.900,2,1.52
04:12:15.400000,1749701535.4558766,37.5988698,127.0446263,30.600,2,1.52
04:12:17.100000,1749701537.1558547,37.5988747,127.0446040,31.000,5,1.52
04:12:18.900000,1749701538.9573994,37.5988798,127.0445820,31.400,2,1.52
04:12:20.700000,1749701540.758033,37.5988838,127.0445595,32.000,5,1.52
04:12:22.500000,1749701542.5556602,37.5988903,127.0445375,32.600,5,1.52
04:12:24.400000,1749701544.4555337,37.5988942,127.0445145,33.000,5,1.52
04:12:26.200000,1749701546.2584846,37.5989013,127.0444928,33.200,5,1.52
04:12:28.100000,1749701548.1573563,37.5989052,127.0444700,33.500,5,1.52
04:12:30,1749701550.0630739,37.5989092,127.0444472,33.600,5,1.52
04:12:31.800000,1749701551.8550994,37.5989143,127.0444245,33.300,2,1.52
04:12:33.500000,1749701553.5583355,37.5989200,127.0444020,33.200,2,1.52
04:12:35.300000,1749701555.3557527,37.5989258,127.0443792,33.100,2,1.52
04:12:37.100000,1749701557.155936,37.5989322,127.0443567,33.200,5,1.52
04:12:38.900000,1749701558.9556453,37.5989383,127.0443347,33.500,5,1.52
04:12:40.800000,1749701560.8558257,37.5989453,127.0443127,33.500,2,1.52
04:12:42.700000,1749701562.7560704,37.5989458,127.0442898,33.600,5,1.87
04:12:44.700000,1749701564.7574458,37.5989513,127.0442678,34.000,5,1.52
04:12:46.600000,1749701566.6580067,37.5989553,127.0442453,34.400,5,1.52
04:12:48.800000,1749701568.857836,37.5989608,127.0442227,34.500,5,1.21
04:12:50.900000,1749701570.9583673,37.5989658,127.0441998,35.000,5,1.21
04:12:52.900000,1749701572.9572775,37.5989713,127.0441773,35.500,5,1.21
04:12:55,1749701575.0636644,37.5989760,127.0441553,35.500,5,1.21
04:12:57,1749701577.0649545,37.5989810,127.0441333,35.500,5,1.21
04:12:59.100000,1749701579.1606195,37.5989865,127.0441107,35.800,5,1.21
04:13:01.100000,1749701581.1602855,37.5989933,127.0440890,36.200,5,1.21
04:13:02.900000,1749701582.9615936,37.5989965,127.0440655,36.700,5,1.21
04:13:04.800000,1749701584.8602283,37.5989983,127.0440422,37.400,5,1.14
04:13:06.700000,1749701586.7575169,37.5990002,127.0440193,37.800,5,1.14
04:13:08.500000,1749701588.5582597,37.5990015,127.0439960,38.400,5,1.14
04:13:10.300000,1749701590.3588083,37.5990060,127.0439735,39.000,5,1.14
04:13:12,1749701592.0661683,37.5990135,127.0439528,39.600,5,1.14
04:13:13.700000,1749701593.7612298,37.5990200,127.0439312,40.500,5,1.14
04:13:15.400000,1749701595.4624858,37.5990277,127.0439093,41.100,5,1.14
04:13:17,1749701597.0703056,37.5990338,127.0438878,41.000,5,1.14
04:13:18.800000,1749701598.861285,37.5990402,127.0438650,40.900,5,1.14
04:13:20.500000,1749701600.5603294,37.5990463,127.0438433,40.800,5,1.14
04:13:22.300000,1749701602.359642,37.5990505,127.0438203,40.700,5,1.14
04:13:24.100000,1749701604.1595614,37.5990575,127.0437983,40.400,5,1.15
04:13:25.900000,1749701605.9584029,37.5990627,127.0437758,40.200,5,1.15
04:13:27.800000,1749701607.8594997,37.5990680,127.0437532,40.000,5,1.15
04:13:29.600000,1749701609.6708698,37.5990725,127.0437305,39.800,5,1.15
04:13:31.500000,1749701611.558053,37.5990777,127.0437078,39.600,5,1.15
04:13:33.400000,1749701613.459309,37.5990837,127.0436850,39.400,5,1.06
04:13:35.300000,1749701615.358834,37.5990882,127.0436617,39.400,2,1.06
04:13:37.100000,1749701617.1601098,37.5990942,127.0436393,39.200,5,1.06
04:13:39.100000,1749701619.1565416,37.5990995,127.0436175,39.200,2,1.06
04:13:40.800000,1749701620.8576088,37.5991035,127.0435943,39.200,2,1.06
04:13:42.800000,1749701622.8617253,37.5991038,127.0435712,39.200,5,1.06
04:13:44.800000,1749701624.8607821,37.5991028,127.0435478,39.400,5,1.06
04:13:46.700000,1749701626.7647235,37.5990973,127.0435260,39.300,5,1.06
04:13:48.800000,1749701628.861924,37.5990807,127.0435152,39.200,5,1.06
04:13:51,1749701631.0661943,37.5990653,127.0435018,39.300,5,1.06
04:13:53.400000,1749701633.4607959,37.5990483,127.0434923,39.300,5,1.06
04:13:55.900000,1749701635.9630868,37.5990312,127.0434835,39.000,5,1.06
04:13:57.800000,1749701637.8605897,37.5990133,127.0434768,39.100,5,1.06
04:13:59.800000,1749701639.8568273,37.5989955,127.0434703,39.000,5,1.06
04:14:01.900000,1749701641.9595752,37.5989773,127.0434663,38.900,5,1.06
04:14:04,1749701644.0646996,37.5989595,127.0434600,38.800,5,1.06
04:14:06,1749701646.0673165,37.5989415,127.0434532,38.700,5,1.06
04:14:08,1749701648.064744,37.5989230,127.0434485,38.500,5,1.06
04:14:09.800000,1749701649.8589625,37.5989058,127.0434418,38.600,5,1.06
04:14:11.700000,1749701651.7583334,37.5988887,127.0434343,38.500,5,1.38
04:14:13.600000,1749701653.6705573,37.5988712,127.0434272,38.400,5,1.15
04:14:15.500000,1749701655.5605533,37.5988542,127.0434187,38.500,5,1.38
04:14:17.300000,1749701657.3605115,37.5988355,127.0434147,38.600,5,1.38
04:14:19.300000,1749701659.3589509,37.5988173,127.0434097,38.600,5,1.38
04:14:21.200000,1749701661.2582061,37.5987988,127.0434032,38.400,5,1.62
04:14:23.100000,1749701663.1604574,37.5987805,127.0433972,38.300,5,1.62
04:14:24.900000,1749701664.957427,37.5987628,127.0433925,38.300,5,1.38
04:14:26.800000,1749701666.8564725,37.5987447,127.0433852,38.300,2,1.62
04:14:28.600000,1749701668.655713,37.5987273,127.0433763,38.200,5,1.62
04:14:30.400000,1749701670.456346,37.5987100,127.0433682,38.100,5,1.63
04:14:32.200000,1749701672.2554052,37.5986920,127.0433625,38.100,2,1.63
04:14:34.300000,1749701674.3566465,37.5986733,127.0433593,38.000,2,1.63
04:14:36.100000,1749701676.1577337,37.5986555,127.0433517,38.000,5,1.63
04:14:38,1749701678.069602,37.5986368,127.0433473,38.400,5,1.63
04:14:39.800000,1749701679.8562157,37.5986192,127.0433403,38.600,2,1.63
04:14:41.600000,1749701681.6636631,37.5986012,127.0433345,38.600,2,1.38
04:14:43.600000,1749701683.6723902,37.5985835,127.0433290,38.500,2,1.38
04:14:45.300000,1749701685.3594463,37.5985670,127.0433188,38.200,5,1.38
04:14:46.900000,1749701686.9570327,37.5985528,127.0433043,38.100,2,1.38
04:14:48.600000,1749701688.6561844,37.5985340,127.0433005,37.600,2,1.38
04:14:51.100000,1749701691.154276,37.5985148,127.0433057,36.600,2,1.38
04:14:52.700000,1749701692.7584183,37.5984973,127.0432980,36.100,2,1.38
04:14:54.400000,1749701694.4572484,37.5984797,127.0432918,36.400,2,1.38
04:14:56.300000,1749701696.3576694,37.5984620,127.0432843,36.100,2,1.63
04:14:58.100000,1749701698.1585736,37.5984447,127.0432773,35.700,2,1.63
04:15:00.100000,1749701700.1546922,37.5984267,127.0432715,35.300,2,1.38
04:15:01.900000,1749701701.9557166,37.5984102,127.0432620,35.600,1,1.24
04:15:03.800000,1749701703.8552482,37.5983920,127.0432535,35.800,1,1.24
