time,lat,lon,hdop,quality
1751794892.3915412,37.6038618,127.0452945,0.64,5
1751794898.2895184,37.6038550,127.0452932,0.64,5
1751794899.9860306,37.6038482,127.0452937,0.64,5
1751794901.9871478,37.6038415,127.0452950,0.64,5
1751794904.8898637,37.6038348,127.0452982,0.64,5
1751794906.1967154,37.6038290,127.0452935,0.64,5
1751794907.8913872,37.6038273,127.0452850,0.64,5
1751794908.6886742,37.6038263,127.0452762,0.64,5
1751794909.488614,37.6038212,127.0452702,0.64,5
1751794910.395446,37.6038160,127.0452640,0.64,5
1751794911.2006073,37.6038098,127.0452598,0.64,5
1751794911.8904672,37.6038033,127.0452572,0.65,5
1751794912.5910478,37.6037958,127.0452550,0.64,5
1751794913.1864378,37.6037892,127.0452532,0.65,5
1751794913.7890682,37.6037820,127.0452512,0.65,5
1751794914.3926485,37.6037750,127.0452492,0.64,5
1751794914.9846234,37.6037682,127.0452468,0.64,5
1751794915.6960156,37.6037638,127.0452402,0.64,5
1751794916.4925437,37.6037640,127.0452313,0.64,5
1751794917.1981149,37.6037633,127.0452218,0.64,5
1751794917.8905365,37.6037607,127.0452130,0.64,5
1751794918.489964,37.6037578,127.0452047,0.64,5
1751794919.0956402,37.6037557,127.0451960,0.64,5
1751794919.6899774,37.6037527,127.0451875,0.64,5
1751794920.2878041,37.6037487,127.0451795,0.64,5
1751794920.8879793,37.6037450,127.0451712,0.64,5
1751794921.4880779,37.6037415,127.0451630,0.64,5
1751794922.0916364,37.6037375,127.0451548,0.64,5
1751794922.6860251,37.6037337,127.0451468,0.64,5
1751794923.2879822,37.6037302,127.0451388,0.64,5
1751794923.8860564,37.6037258,127.0451310,0.64,5
1751794924.4877324,37.6037217,127.0451228,0.67,5
1751794925.0901983,37.6037177,127.0451153,0.64,5
1751794925.687359,37.6037138,127.0451070,0.64,5
1751794926.2892249,37.6037095,127.0450998,0.64,5
1751794926.8886037,37.6037050,127.0450923,0.64,5
1751794927.5830166,37.6037005,127.0450840,0.64,5
1751794928.1927145,37.6036962,127.0450768,0.64,5
1751794928.7852738,37.6036915,127.0450702,0.64,5
1751794929.380168,37.6036870,127.0450630,0.64,5
1751794929.9812603,37.6036825,127.0450557,0.64,5
1751794930.6842847,37.6036768,127.0450492,0.64,2
1751794931.287069,37.6036723,127.0450427,0.64,5
1751794931.8885133,37.6036667,127.0450365,0.68,5
1751794932.4863248,37.6036620,127.0450298,0.68,5
1751794933.0914514,37.6036575,127.0450233,0.64,5
1751794933.6882079,37.6036520,127.0450175,0.64,5
1751794934.288992,37.6036468,127.0450110,0.64,5
1751794934.8852284,37.6036413,127.0450047,0.64,5
1751794935.5878067,37.6036353,127.0449983,0.64,5
