time,lat,lon,hdop,quality
1751795431.6531582,37.5985847,127.0432887,1.66,5
1751795416.152386,37.5985962,127.0432955,1.31,5
1751795414.553451,37.5986137,127.0433040,1.31,2
1751795412.95185,37.5986315,127.0433112,1.32,5
1751795410.8456697,37.5986492,127.0433162,1.31,2
1751795408.9485946,37.5986647,127.0433293,1.25,2
1751795407.2617438,37.5986805,127.0433403,1.25,5
1751795405.756564,37.5986982,127.0433463,1.25,5
1751795404.166473,37.5987163,127.0433535,1.25,5
1751795402.5613575,37.5987343,127.0433605,1.25,5
1751795401.0638344,37.5987518,127.0433665,1.04,5
1751795399.45718,37.5987697,127.0433735,1.04,5
1751795397.9542983,37.5987882,127.0433775,1.04,2
1751795396.3591306,37.5988045,127.0433873,1.04,4
1751795394.757014,37.5988227,127.0433937,0.71,4
1751795393.2638037,37.5988402,127.0434000,0.95,4
1751795391.665088,37.5988587,127.0434058,0.77,4
1751795390.1692967,37.5988765,127.0434117,0.77,4
1751795388.568936,37.5988940,127.0434198,0.72,4
1751795386.967725,37.5989117,127.0434267,0.72,4
1751795385.4666984,37.5989292,127.0434327,0.69,4
1751795383.9630818,37.5989468,127.0434395,0.72,4
1751795382.3649144,37.5989648,127.0434465,0.72,4
1751795380.664768,37.5989828,127.0434528,0.72,4
1751795379.0725915,37.5989982,127.0434667,0.72,4
1751795377.4683962,37.5990135,127.0434800,0.69,4
1751795375.8721058,37.5990287,127.0434930,0.69,4
1751795374.2768962,37.5990448,127.0435062,0.72,4
1751795372.666281,37.5990610,127.0435190,0.71,4
1751795371.0763004,37.5990772,127.0435308,0.71,4
1751795369.4646165,37.5990918,127.0435443,0.71,4
1751795367.868801,37.5991043,127.0435612,0.71,4
1751795365.864583,37.5991153,127.0435803,0.71,4
1751795363.7694068,37.5991315,127.0435922,0.71,4
1751795361.7720993,37.5991488,127.0436000,0.71,4
1751795360.2703671,37.5991660,127.0436077,0.71,4
1751795358.7697906,37.5991830,127.0436152,0.75,4
1751795357.277348,37.5992000,127.0436227,0.71,4
1751795355.6717381,37.5992183,127.0436295,0.73,4
1751795353.971413,37.5992370,127.0436350,0.73,4
1751795352.2687268,37.5992560,127.0436347,0.77,4
1751795350.670104,37.5992775,127.0436200,0.71,5
1751795348.9690301,37.5992890,127.0436007,0.74,5
1751795346.8698716,37.5992955,127.0435785,0.74,5
1751795345.2766032,37.5993017,127.0435562,0.77,5
1751795343.6683052,37.5993112,127.0435355,0.71,5
1751795342.1687865,37.5993247,127.0435202,0.71,5
1751795340.6597042,37.5993407,127.0435068,0.71,5
1751795339.1684809,37.5993570,127.0434945,0.7,5
1751795337.6624246,37.5993743,127.0434852,0.69,5
1751795336.1681154,37.5993918,127.0434777,0.69,5
1751795334.5633411,37.5994103,127.0434705,0.7,5
