time,lat,lon,hdop,quality
1751108329.7289717,37.5991683,127.0437698,0.98,5
1751108331.7874985,37.5991738,127.0437475,0.95,5
1751108332.58654,37.5991792,127.0437255,0.98,5
1751108333.3099482,37.5991855,127.0437007,0.98,5
1751108333.889409,37.5991918,127.0436770,0.98,5
1751108334.5099967,37.5991985,127.0436518,0.9,5
1751108335.1142917,37.5992055,127.0436272,0.9,5
1751108335.6891735,37.5992133,127.0436028,0.9,5
1751108336.312809,37.5992223,127.0435792,0.9,5
1751108336.8914714,37.5992327,127.0435557,0.9,5
1751108337.5104046,37.5992450,127.0435347,0.9,5
1751108338.113182,37.5992587,127.0435158,0.9,5
1751108338.7908576,37.5992768,127.0434968,0.9,5
1751108339.4093502,37.5992940,127.0434832,0.9,5
1751108339.986785,37.5993117,127.0434722,0.95,5
1751108340.5887222,37.5993292,127.0434632,0.9,5
1751108341.291131,37.5993500,127.0434545,1.21,5
1751108341.8858647,37.5993683,127.0434478,0.95,5
1751108342.5889316,37.5993885,127.0434422,0.95,5
1751108343.2895844,37.5994093,127.0434377,0.95,5
1751108343.9893951,37.5994307,127.0434340,0.95,5
1751108344.5827587,37.5994510,127.0434307,0.95,5
1751108345.2956047,37.5994760,127.0434267,0.95,5
1751108345.786016,37.5994950,127.0434238,0.95,5
1751108346.2977865,37.5995148,127.0434210,0.95,5
1751108346.7874596,37.5995355,127.0434185,1.09,5
1751108347.2852688,37.5995570,127.0434158,1.07,5
1751108347.7897475,37.5995787,127.0434128,1.09,5
1751108348.3027925,37.5996003,127.0434103,0.95,5
1751108348.786685,37.5996222,127.0434077,0.95,5
1751108349.2867234,37.5996443,127.0434053,1.16,5
1751108349.7881594,37.5996665,127.0434032,1.3,5
1751108350.313194,37.5996885,127.0434007,1.35,5
1751108350.7851446,37.5997103,127.0433982,1.32,5
1751108351.293343,37.5997315,127.0433958,1.68,5
1751108351.7805505,37.5997522,127.0433938,1.45,5
1751108352.2922044,37.5997722,127.0433923,1.64,5
1751108352.7914078,37.5997917,127.0433910,1.01,5
1751108353.294564,37.5998100,127.0433890,0.95,5
1751108353.8884108,37.5998308,127.0433875,0.95,5
1751108354.4814835,37.5998495,127.0433863,0.99,5
1751108355.29003,37.5998723,127.0433850,0.9,5
1751108355.8913531,37.5998918,127.0433852,1.01,5
1751108356.5896688,37.5999165,127.0433847,0.93,5
1751108357.1132162,37.5999368,127.0433853,0.98,2
1751108357.587169,37.5999592,127.0433865,1.27,5
1751108358.1821108,37.5999827,127.0433878,0.99,5
1751108358.5725548,37.6000013,127.0433883,0.9,5
1751108358.956826,37.6000210,127.0433890,1.01,2
1751108359.3692336,37.6000403,127.0433897,0.95,5
1751108359.7814353,37.6000607,127.0433908,0.95,5
1751108360.1817355,37.6000807,127.0433913,1.01,5
1751108360.5763593,37.6001007,127.0433925,0.95,5
1751108361.0669904,37.6001258,127.0433945,0.93,5
1751108361.4924035,37.6001455,127.0433952,0.95,5
1751108361.8719587,37.6001650,127.0433960,1.1,5
1751108362.1972542,37.6001842,127.0433970,1.17,5
1751108362.6620023,37.6002035,127.0433982,1.2,5
1751108363.069376,37.6002232,127.0433988,1.28,5
1751108363.4724367,37.6002425,127.0433998,1.01,5
1751108363.789022,37.6002620,127.0434017,1.26,5
1751108364.3553052,37.6002872,127.0434030,1.23,2
1751108364.7839751,37.6003068,127.0434042,0.95,5
1751108365.1882753,37.6003270,127.0434048,1.11,2
1751108365.6747053,37.6003522,127.0434057,1.28,2
1751108366.070146,37.6003722,127.0434063,0.99,2
1751108366.4842737,37.6003918,127.0434072,0.98,2
1751108366.7951002,37.6004115,127.0434085,0.98,5
1751108367.3706603,37.6004367,127.0434097,1.17,5
1751108367.7710893,37.6004565,127.0434103,1.0,5
1751108368.1893487,37.6004765,127.0434112,1.32,5
1751108368.6752777,37.6005013,127.0434120,1.05,2
1751108369.0748124,37.6005217,127.0434135,1.17,5
1751108369.4852695,37.6005417,127.0434142,1.21,5
1751108369.7925398,37.6005612,127.0434160,1.12,5
1751108370.3693125,37.6005863,127.0434165,1.09,2
1751108370.7679417,37.6006058,127.0434177,1.06,2
1751108371.2004027,37.6006255,127.0434193,0.95,5
1751108371.5690732,37.6006445,127.0434215,1.01,2
1751108371.9869883,37.6006647,127.0434232,1.01,5
1751108372.4703586,37.6006892,127.0434262,1.01,5
1751108372.8736756,37.6007087,127.0434288,1.28,2
1751108373.3634965,37.6007333,127.0434327,1.17,5
1751108373.7770112,37.6007530,127.0434355,1.28,5
1751108374.188531,37.6007732,127.0434382,3.88,5
1751108374.5194955,37.6007925,127.0434407,1.28,5
1751108374.9728243,37.6008112,127.0434425,1.3,2
1751108375.3901699,37.6008313,127.0434453,1.29,2
1751108375.771362,37.6008513,127.0434485,1.01,2
1751108376.125498,37.6008712,127.0434512,0.95,5
1751108376.5793278,37.6008902,127.0434532,1.05,2
1751108376.9640658,37.6009100,127.0434562,1.17,2
1751108377.3750477,37.6009303,127.0434582,1.39,5
1751108377.696733,37.6009500,127.0434602,1.32,2
1751108378.2861621,37.6009753,127.0434638,1.82,2
1751108378.6778371,37.6009953,127.0434665,1.06,2
1751108379.0759761,37.6010153,127.0434697,1.37,2
1751108379.675446,37.6010438,127.0434747,1.07,2
1751108380.076387,37.6010645,127.0434782,1.0,2
1751108380.482643,37.6010843,127.0434818,1.72,5
1751108380.7942684,37.6011043,127.0434863,1.0,2
1751108381.3782644,37.6011288,127.0434920,1.09,5
1751108381.7757883,37.6011482,127.0434968,1.03,2
1751108382.1969151,37.6011668,127.0435018,0.93,2
1751108382.677441,37.6011880,127.0435053,0.9,5
1751108383.0809717,37.6012058,127.0435090,0.95,5
1751108383.6949222,37.6012287,127.0435142,0.95,5
1751108384.2996008,37.6012527,127.0435193,0.95,5
1751108384.8966737,37.6012750,127.0435253,0.99,5
1751108385.4177735,37.6012948,127.0435302,0.99,5
1751108386.0702329,37.6013215,127.0435375,1.21,5
1751108386.4998374,37.6013405,127.0435418,0.95,5
1751108386.981176,37.6013645,127.0435478,0.9,5
1751108387.425986,37.6013888,127.0435543,0.9,5
1751108387.8754728,37.6014077,127.0435615,1.93,5
1751108388.2937298,37.6014287,127.0435665,1.51,5
1751108388.671069,37.6014497,127.0435722,1.21,5
1751108389.0161273,37.6014710,127.0435778,0.98,5
1751108389.4784355,37.6014907,127.0435840,1.58,5
1751108389.875875,37.6015133,127.0435898,1.1,5
1751108390.2760296,37.6015360,127.0435958,1.8,2
1751108390.6043353,37.6015593,127.0436018,1.55,2
1751108391.07047,37.6015792,127.0436080,1.82,2
1751108391.4688385,37.6016028,127.0436112,1.55,2
1751108391.8663373,37.6016255,127.0436155,4.29,2
1751108392.2012684,37.6016483,127.0436212,1.83,2
1751108392.772559,37.6016772,127.0436283,1.06,5
1751108393.1745179,37.6017008,127.0436343,1.01,5
1751108393.5773914,37.6017247,127.0436407,1.21,2
1751108393.8731668,37.6017422,127.0436460,0.95,5
1751108394.2874694,37.6017658,127.0436528,1.98,5
1751108394.678994,37.6017887,127.0436590,1.05,5
1751108395.0742822,37.6018115,127.0436647,0.98,5
1751108395.4917076,37.6018322,127.0436715,1.17,5
