gps_time,comp_time,lat,lon,alt,quality,hdop
02:02:08.600000,1749693728.8511467,37.5987582,127.0447803,25.700,1,1.35
02:02:12.500000,1749693732.5457952,37.5987652,127.0447655,22.400,2,3.40
02:02:18.800000,1749693738.8441298,37.5987740,127.0447520,21.000,2,3.39
02:02:27.800000,1749693747.8458574,37.5987768,127.0447350,20.800,2,2.22
02:02:31.900000,1749693751.9483788,37.5987810,127.0447182,18.100,2,3.37
02:02:42.400000,1749693762.4478216,37.5987838,127.0447005,17.800,2,2.22
02:02:51.400000,1749693771.4482958,37.5987735,127.0447120,15.700,2,2.21
02:03:00.400000,1749693780.448146,37.5987693,127.0446957,23.300,2,2.21
02:03:03.800000,1749693783.8476992,37.5987720,127.0446788,26.200,2,2.21
02:03:09.100000,1749693789.1621237,37.5987662,127.0446630,30.200,2,2.23
02:03:11.300000,1749693791.3503628,37.5987525,127.0446605,30.800,2,2.23
02:03:13.700000,1749693793.750116,37.5987393,127.0446542,31.500,2,2.21
02:03:15.700000,1749693795.7494256,37.5987257,127.0446535,33.400,2,2.21
02:03:18,1749693798.0594509,37.5987123,127.0446505,34.500,2,2.21
02:03:19.700000,1749693799.7503564,37.5986990,127.0446537,34.900,2,2.21
02:03:20.700000,1749693800.7493982,37.5986887,127.0446418,37.700,2,1.24
02:03:21.500000,1749693801.5492423,37.5986795,127.0446287,40.200,2,2.21
02:03:23,1749693803.052863,37.5986662,127.0446253,41.100,2,2.21
02:03:24.200000,1749693804.2491004,37.5986538,127.0446167,43.100,2,1.24
02:03:25.500000,1749693805.5488896,37.5986418,127.0446063,45.600,2,1.24
02:03:26.900000,1749693806.9489684,37.5986290,127.0445992,47.700,2,1.24
02:03:28.400000,1749693808.4485757,37.5986165,127.0445927,49.200,2,1.24
02:03:30.100000,1749693810.151408,37.5986025,127.0445900,50.800,2,1.24
02:03:31.700000,1749693811.751511,37.5985888,127.0445855,52.300,2,1.24
02:03:33.300000,1749693813.3521118,37.5985755,127.0445825,53.500,2,1.24
02:03:35.200000,1749693815.251617,37.5985622,127.0445777,54.700,2,1.24
02:03:36.900000,1749693816.9494176,37.5985488,127.0445737,55.100,2,1.24
02:03:38.800000,1749693818.8492217,37.5985348,127.0445750,55.400,2,1.24
02:03:40.400000,1749693820.4482822,37.5985213,127.0445743,55.500,2,1.24
02:03:42,1749693822.0532465,37.5985078,127.0445758,55.500,2,1.24
02:03:43.700000,1749693823.7440333,37.5984938,127.0445765,55.300,2,1.24
02:03:45.300000,1749693825.348201,37.5984803,127.0445752,55.300,2,1.24
02:03:47,1749693827.0556216,37.5984675,127.0445677,55.200,2,1.24
