time,lat,lon,hdop,quality
1751795366.3725722,37.5991125,127.0435763,0.71,4
1751795365.26941,37.599119,127.0435852,0.71,4
1751795364.2722902,37.5991275,127.0435907,0.71,4
1751795362.8681448,37.5991365,127.0435948,0.71,4
1751795362.0772305,37.5991457,127.0435987,0.71,4
1751795361.2692456,37.5991545,127.0436027,0.71,4
1751795360.4650872,37.5991637,127.0436065,0.71,4
1751795359.6685,37.5991728,127.0436107,0.71,4
1751795358.8670132,37.599182,127.0436147,0.75,4
1751795358.0744958,37.599191,127.0436187,0.71,4
1751795357.277348,37.5992,127.0436227,0.71,4
1751795356.4715147,37.5992093,127.0436263,0.73,4
1751795355.671738,37.5992183,127.0436295,0.73,4
1751795354.8713677,37.5992275,127.0436327,0.73,4
1751795353.971413,37.599237,127.043635,0.73,4
1751795353.0773666,37.5992468,127.0436353,0.73,4
1751795352.2687268,37.599256,127.0436347,0.77,4
1751795351.466918,37.5992712,127.0436273,0.73,5
1751795350.5640893,37.5992783,127.0436188,0.77,5
1751795349.7688425,37.5992843,127.0436097,0.74,5
1751795348.8695931,37.5992893,127.0435993,0.74,5
1751795347.6716528,37.5992922,127.0435885,0.77,5
1751795346.7708197,37.5992958,127.0435772,0.77,5
1751795345.9678144,37.599299,127.0435657,0.74,5
1751795345.1708548,37.5993023,127.0435545,0.68,5
1751795344.370232,37.5993062,127.0435442,0.71,5
1751795343.5673118,37.599312,127.0435343,0.71,5
1751795342.763209,37.5993187,127.0435258,0.71,5
1751795341.9637258,37.599327,127.0435188,0.71,5
1751795341.169889,37.5993352,127.0435115,0.71,5
1751795340.464162,37.5993427,127.0435052,0.71,5
1751795339.6635954,37.5993515,127.0434983,0.7,5
1751795338.856109,37.5993602,127.0434923,0.7,5
1751795338.1691113,37.5993687,127.0434882,0.69,5
1751795337.362237,37.5993777,127.0434833,0.69,5
1751795336.5648987,37.599387,127.0434792,0.69,5
1751795335.7650087,37.5993968,127.0434762,0.69,5
1751795334.9645376,37.5994058,127.043472,0.7,5
1751795334.1726992,37.5994152,127.0434688,0.7,5
1751795333.3652585,37.5994248,127.0434657,0.7,5
1751795332.5598323,37.5994345,127.0434628,0.7,5
1751795331.76397,37.5994442,127.0434605,0.7,5
1751795330.9603214,37.5994542,127.0434583,0.7,5
1751795330.1706843,37.5994637,127.0434565,0.7,5
1751795329.364729,37.599474,127.0434558,0.7,5
1751795328.5613256,37.599484,127.0434548,0.66,5
1751795327.7624292,37.5994937,127.043454,0.73,5
1751795326.9647148,37.5995035,127.0434533,0.73,5
1751795326.174016,37.5995138,127.043452,0.73,5
1751795325.3627558,37.5995238,127.0434508,0.73,5
1751795324.5651329,37.5995337,127.0434495,0.73,5
1751795323.7659836,37.5995435,127.0434482,0.73,5
1751795322.963514,37.5995533,127.043447,0.73,5
1751795322.1717129,37.5995632,127.0434458,0.73,5
1751795321.364756,37.5995728,127.043445,0.73,5
1751795320.5638452,37.5995828,127.0434443,0.73,5
1751795319.7665188,37.5995925,127.0434425,0.73,5
1751795318.9661398,37.5996025,127.0434417,0.73,5
1751795318.167804,37.5996122,127.0434405,0.73,5
1751795317.3663778,37.5996218,127.0434395,0.73,5
1751795316.5664897,37.5996317,127.0434378,0.73,5
1751795315.767864,37.599641,127.0434372,0.73,5
1751795314.9656117,37.5996505,127.043437,0.77,5
1751795314.1744506,37.5996603,127.0434363,0.77,5
1751795313.3669455,37.5996702,127.0434352,0.77,5
1751795312.565786,37.5996797,127.0434333,0.73,5
1751795311.7633195,37.5996892,127.0434315,0.73,5
1751795310.9609196,37.5996988,127.0434303,0.73,5
1751795310.1703885,37.5997085,127.0434297,0.73,5
1751795309.3647044,37.5997178,127.0434297,0.73,5
1751795308.5602918,37.5997273,127.043429,0.74,5
1751795307.7628276,37.599737,127.0434283,0.74,5
1751795307.0673993,37.599746,127.0434277,0.72,5
1751795306.266329,37.5997558,127.043427,0.73,5
1751795305.561152,37.5997648,127.0434262,0.73,5
1751795304.7624764,37.599775,127.0434252,0.72,5
1751795303.9583695,37.5997848,127.0434237,0.72,5
1751795303.1605213,37.5997943,127.0434217,0.72,5
1751795302.3631065,37.5998038,127.0434203,0.72,5
1751795301.5634673,37.5998137,127.0434195,0.72,5
1751795300.7638326,37.5998235,127.0434185,0.72,5
1751795299.9639227,37.5998333,127.0434173,0.72,5
1751795299.180016,37.5998432,127.043416,0.72,5
1751795298.3622346,37.5998525,127.043415,0.72,5
1751795297.56522,37.599862,127.0434147,0.72,5
1751795296.7653182,37.599872,127.0434135,0.72,5
1751795295.9646327,37.5998817,127.0434125,0.72,5
1751795295.1748066,37.5998912,127.0434115,0.72,5
1751795294.3667424,37.599901,127.0434102,0.72,5
1751795293.5672128,37.5999105,127.0434088,0.72,5
1751795292.7662337,37.5999205,127.0434077,0.73,5
1751795291.966055,37.5999305,127.0434075,0.73,5
1751795291.169309,37.5999403,127.0434072,0.73,5
1751795290.3696291,37.5999498,127.0434075,0.73,5
1751795289.5654287,37.5999597,127.0434073,0.78,5
1751795288.770756,37.5999695,127.0434078,0.73,5
1751795287.9669957,37.5999793,127.0434082,0.73,5
1751795287.1730237,37.5999893,127.0434088,0.73,5
1751795286.3658383,37.5999985,127.0434093,0.73,5
1751795285.5651531,37.6000082,127.0434098,0.77,5
1751795284.7656307,37.6000183,127.0434108,0.77,5
1751795283.960219,37.6000273,127.0434112,0.77,5
1751795283.1725128,37.6000368,127.0434115,0.77,5
1751795282.366704,37.6000467,127.0434118,0.77,5
1751795281.5647166,37.6000565,127.0434118,0.73,5
1751795280.7659955,37.600066,127.0434125,0.78,5
1751795279.965521,37.6000758,127.0434133,0.78,5
1751795279.1723063,37.6000857,127.0434145,0.73,5
1751795278.367666,37.6000952,127.0434148,0.73,5
1751795277.564858,37.6001052,127.0434157,0.73,5
1751795276.7609391,37.6001148,127.043416,0.73,5
1751795275.9639385,37.6001245,127.0434175,0.73,5
1751795275.1721485,37.6001342,127.0434182,0.73,5
1751795274.3673997,37.600144,127.0434188,0.73,5
1751795273.5680327,37.6001537,127.0434195,0.73,5
1751795272.765028,37.6001635,127.0434197,0.73,5
1751795271.965172,37.6001733,127.0434212,0.73,5
1751795271.1742089,37.6001833,127.0434215,0.73,5
1751795270.3683574,37.6001932,127.0434223,0.73,5
1751795269.56226,37.6002032,127.043423,0.78,5
