time,lat,lon,hdop,quality
1761210344.155775,37.6018417,127.0437147,0.62,1
1761210345.161424,37.6018415,127.0437145,0.60,1
1761210346.165232,37.6018415,127.0437140,0.60,1
1761210347.167521,37.6018288,127.0437098,0.72,5
1761210348.170183,37.6018262,127.0437002,0.69,5
1761210349.173432,37.6018253,127.0436987,0.69,5
1761210350.178291,37.6018253,127.0436982,0.72,5
1761210351.180664,37.6018250,127.0436975,0.69,5
1761210352.184210,37.6018225,127.0436958,0.69,5
1761210353.187065,37.6018155,127.0436933,0.69,5
1761210354.189991,37.6018083,127.0436920,0.69,5
1761210355.194085,37.6018015,127.0436912,0.69,5
1761210356.197418,37.6017938,127.0436900,0.69,5
1761210357.200531,37.6017865,127.0436888,0.69,5
1761210358.204386,37.6017800,127.0436867,0.64,5
1761210359.210778,37.6017752,127.0436847,0.64,5
1761210360.212921,37.6017702,127.0436833,0.64,5
1761210361.216416,37.6017657,127.0436817,0.64,5
1761210362.219696,37.6017595,127.0436803,0.69,5
1761210363.222972,37.6017525,127.0436778,0.69,5
1761210364.227559,37.6017457,127.0436753,0.69,5
1761210365.229586,37.6017400,127.0436748,0.72,5
1761210366.232483,37.6017347,127.0436737,0.64,5
1761210367.237660,37.6017278,127.0436715,0.64,5
1761210368.239436,37.6017213,127.0436702,0.64,5
1761210369.245867,37.6017145,127.0436677,0.69,5
1761210370.250480,37.6017068,127.0436645,0.66,5
1761210371.252967,37.6017002,127.0436630,0.66,5
1761210372.255795,37.6016938,127.0436610,0.68,5
1761210373.259019,37.6016880,127.0436598,0.68,5
1761210374.262005,37.6016823,127.0436600,0.69,5
1761210375.265819,37.6016763,127.0436593,0.70,2
1761210376.269225,37.6016697,127.0436585,0.71,5
1761210377.271992,37.6016638,127.0436575,0.71,5
1761210378.275742,37.6016600,127.0436568,0.74,5
1761210379.279048,37.6016528,127.0436557,0.74,2
1761210380.282130,37.6016433,127.0436537,0.74,5
1761210381.285419,37.6016365,127.0436513,0.73,2
1761210382.288219,37.6016300,127.0436517,0.71,2
1761210383.290606,37.6016270,127.0436523,0.71,2
1761210384.293126,37.6016193,127.0436505,0.73,2
1761210385.295354,37.6016140,127.0436510,0.78,2
1761210386.298285,37.6016067,127.0436492,0.75,2
1761210387.301090,37.6016002,127.0436482,0.71,2
1761210388.303199,37.6015937,127.0436485,0.71,2
1761210389.307165,37.6015875,127.0436475,0.71,2
1761210390.309178,37.6015813,127.0436445,0.72,2
1761210391.311059,37.6015750,127.0436417,0.79,2
1761210392.315618,37.6015697,127.0436407,0.82,2
1761210393.318656,37.6015632,127.0436382,0.82,2
1761210394.321997,37.6015572,127.0436368,0.79,2
1761210395.325321,37.6015507,127.0436360,0.73,2
1761210396.328339,37.6015442,127.0436330,0.76,5
1761210397.331618,37.6015377,127.0436318,0.75,2
1761210398.334530,37.6015317,127.0436305,0.66,2
1761210399.338309,37.6015255,127.0436298,0.63,2
1761210400.341557,37.6015195,127.0436273,0.63,5
1761210401.344321,37.6015135,127.0436273,0.63,5
1761210402.347379,37.6015072,127.0436257,0.63,5
1761210403.349236,37.6015007,127.0436243,0.65,2
1761210404.351471,37.6014943,127.0436220,0.65,2
1761210405.356003,37.6014892,127.0436205,0.66,2
1761210406.358188,37.6014837,127.0436183,0.66,2
1761210407.361272,37.6014777,127.0436155,0.64,2
1761210408.364220,37.6014718,127.0436130,0.64,2
1761210409.367891,37.6014663,127.0436103,0.70,2
1761210410.370802,37.6014605,127.0436088,0.70,2
1761210411.374162,37.6014532,127.0436082,0.70,5
1761210412.377886,37.6014462,127.0436060,0.67,5
1761210413.380773,37.6014390,127.0436037,0.64,5
1761210414.384373,37.6014325,127.0436018,0.62,2
1761210415.387281,37.6014260,127.0435997,0.67,2
1761210416.390583,37.6014197,127.0435993,0.70,5
1761210417.394269,37.6014137,127.0435992,0.70,5
1761210418.396630,37.6014065,127.0435973,0.70,5
1761210419.400872,37.6014003,127.0435953,0.70,5
1761210420.404843,37.6013940,127.0435927,0.70,5
1761210421.407657,37.6013867,127.0435908,0.70,5
1761210422.409438,37.6013793,127.0435895,0.67,5
1761210423.410793,37.6013727,127.0435882,0.67,5
1761210424.413771,37.6013642,127.0435858,0.67,5
1761210425.417334,37.6013570,127.0435842,0.67,5
1761210426.419744,37.6013502,127.0435825,0.67,5
1761210427.422422,37.6013437,127.0435808,0.67,5
1761210428.424118,37.6013367,127.0435800,0.67,5
1761210429.427169,37.6013312,127.0435770,0.66,5
1761210430.430130,37.6013253,127.0435747,0.70,5
1761210431.433899,37.6013197,127.0435727,0.70,5
1761210432.436877,37.6013142,127.0435712,0.70,5
1761210433.440549,37.6013085,127.0435705,0.70,5
1761210434.443042,37.6013058,127.0435707,0.70,5
1761210435.444843,37.6012982,127.0435722,0.70,2
1761210436.445441,37.6012890,127.0435722,0.63,2
1761210437.447044,37.6012855,127.0435727,0.70,5
1761210438.448906,37.6012845,127.0435720,0.72,5
1761210439.451481,37.6012828,127.0435713,0.70,5
1761210440.453681,37.6012768,127.0435692,0.70,5
1761210441.457387,37.6012693,127.0435667,0.70,5
1761210442.460177,37.6012612,127.0435637,0.72,5
1761210443.463052,37.6012523,127.0435598,0.73,5
1761210444.466797,37.6012462,127.0435582,0.73,5
1761210445.468828,37.6012422,127.0435570,0.73,2
1761210446.471397,37.6012368,127.0435560,0.73,5
1761210447.473702,37.6012302,127.0435550,0.73,2
1761210448.476751,37.6012248,127.0435533,0.73,5
1761210449.479709,37.6012195,127.0435515,0.73,5
1761210450.483355,37.6012140,127.0435497,0.73,5
1761210451.486007,37.6012080,127.0435493,0.75,5
1761210452.489324,37.6012018,127.0435478,0.69,5
1761210453.492842,37.6011958,127.0435460,0.66,5
1761210454.495972,37.6011897,127.0435432,0.69,5
1761210455.499081,37.6011835,127.0435423,0.71,5
1761210456.502295,37.6011772,127.0435422,0.77,5
1761210457.505765,37.6011710,127.0435425,0.72,5
1761210458.508547,37.6011647,127.0435405,0.72,5
1761210459.511746,37.6011582,127.0435387,0.72,5
1761210460.514752,37.6011522,127.0435360,0.70,5
1761210461.517944,37.6011455,127.0435342,0.70,5
1761210462.521339,37.6011388,127.0435323,0.70,2
1761210463.524027,37.6011328,127.0435308,0.70,5
1761210464.525445,37.6011272,127.0435287,0.63,5
1761210465.527041,37.6011208,127.0435267,0.70,5
1761210466.530581,37.6011147,127.0435243,0.70,5
1761210467.533245,37.6011082,127.0435218,0.70,5
1761210468.536359,37.6011015,127.0435208,0.70,5
1761210469.539617,37.6010947,127.0435210,0.70,5
1761210470.541435,37.6010885,127.0435205,0.72,5
1761210471.545645,37.6010820,127.0435195,0.72,5
1761210472.548640,37.6010757,127.0435183,0.75,2
1761210473.551029,37.6010690,127.0435177,0.78,5
1761210474.552894,37.6010622,127.0435175,0.76,5
1761210475.555734,37.6010555,127.0435178,0.75,2
1761210476.558127,37.6010495,127.0435175,0.75,2
1761210477.561077,37.6010447,127.0435142,0.72,2
1761210478.563783,37.6010382,127.0435145,0.65,5
1761210479.567474,37.6010323,127.0435117,0.65,5
