time,lat,lon,hdop,quality
1761210345.161424,37.6018415,127.0437145,0.6,1
1761210347.167521,37.6018288,127.0437098,0.72,5
1761210349.173432,37.6018253,127.0436987,0.69,5
1761210351.180664,37.601825,127.0436975,0.69,5
1761210353.187065,37.6018155,127.0436933,0.69,5
1761210355.194085,37.6018015,127.0436912,0.69,5
1761210357.200531,37.6017865,127.0436888,0.69,5
1761210359.210778,37.6017752,127.0436847,0.64,5
1761210361.216416,37.6017657,127.0436817,0.64,5
1761210363.222972,37.6017525,127.0436778,0.69,5
1761210365.229586,37.60174,127.0436748,0.72,5
1761210367.23766,37.6017278,127.0436715,0.64,5
1761210369.245867,37.6017145,127.0436677,0.69,5
1761210371.252967,37.6017002,127.043663,0.66,5
1761210373.259019,37.601688,127.0436598,0.68,5
1761210375.265819,37.6016763,127.0436593,0.7,2
1761210377.271992,37.6016638,127.0436575,0.71,5
1761210379.279048,37.6016528,127.0436557,0.74,2
1761210381.285419,37.6016365,127.0436513,0.73,2
1761210383.290606,37.601627,127.0436523,0.71,2
1761210385.295354,37.601614,127.043651,0.78,2
1761210387.30109,37.6016002,127.0436482,0.71,2
1761210389.307165,37.6015875,127.0436475,0.71,2
1761210391.311059,37.601575,127.0436417,0.79,2
1761210393.318656,37.6015632,127.0436382,0.82,2
1761210395.325321,37.6015507,127.043636,0.73,2
1761210397.331618,37.6015377,127.0436318,0.75,2
1761210399.338309,37.6015255,127.0436298,0.63,2
1761210401.344321,37.6015135,127.0436273,0.63,5
1761210403.349236,37.6015007,127.0436243,0.65,2
1761210405.356003,37.6014892,127.0436205,0.66,2
1761210407.361272,37.6014777,127.0436155,0.64,2
1761210409.367891,37.6014663,127.0436103,0.7,2
1761210411.374162,37.6014532,127.0436082,0.7,5
1761210413.380773,37.601439,127.0436037,0.64,5
1761210415.387281,37.601426,127.0435997,0.67,2
1761210417.394269,37.6014137,127.0435992,0.7,5
1761210419.400872,37.6014003,127.0435953,0.7,5
1761210421.407657,37.6013867,127.0435908,0.7,5
1761210423.410793,37.6013727,127.0435882,0.67,5
1761210425.417334,37.601357,127.0435842,0.67,5
1761210427.422422,37.6013437,127.0435808,0.67,5
1761210429.427169,37.6013312,127.043577,0.66,5
1761210431.433899,37.6013197,127.0435727,0.7,5
1761210433.440549,37.6013085,127.0435705,0.7,5
1761210435.444843,37.6012982,127.0435722,0.7,2
1761210437.447044,37.6012855,127.0435727,0.7,5
1761210439.451481,37.6012828,127.0435713,0.7,5
1761210441.457387,37.6012693,127.0435667,0.7,5
1761210443.463052,37.6012523,127.0435598,0.73,5
1761210445.468828,37.6012422,127.043557,0.73,2
1761210447.473702,37.6012302,127.043555,0.73,2
1761210449.479709,37.6012195,127.0435515,0.73,5
1761210451.486007,37.601208,127.0435493,0.75,5
1761210453.492842,37.6011958,127.043546,0.66,5
1761210455.499081,37.6011835,127.0435423,0.71,5
1761210457.505765,37.601171,127.0435425,0.72,5
1761210459.511746,37.6011582,127.0435387,0.72,5
1761210461.517944,37.6011455,127.0435342,0.7,5
1761210463.524027,37.6011328,127.0435308,0.7,5
1761210465.527041,37.6011208,127.0435267,0.7,5
1761210467.533245,37.6011082,127.0435218,0.7,5
1761210469.539617,37.6010947,127.043521,0.7,5
1761210471.545645,37.601082,127.0435195,0.72,5
1761210473.551029,37.601069,127.0435177,0.78,5
1761210475.555734,37.6010555,127.0435178,0.75,2
1761210477.561077,37.6010447,127.0435142,0.72,2
1761210479.567474,37.6010323,127.0435117,0.65,5
1761210481.572038,37.6010183,127.0435047,0.68,2
1761210483.576077,37.6010035,127.0435017,0.7,2
1761210485.582838,37.6009903,127.0434942,0.67,2
1761210487.58858,37.6009768,127.0434898,0.67,2
1761210489.593462,37.6009632,127.0434845,0.75,2
1761210491.597804,37.6009477,127.0434822,0.68,2
1761210493.60237,37.600934,127.0434807,0.66,2
1761210495.610798,37.6009237,127.0434757,0.68,2
1761210497.615469,37.6009122,127.043473,0.68,5
1761210499.620525,37.6008993,127.043466,0.71,2
1761210501.625054,37.6008863,127.0434623,0.71,2
1761210503.629043,37.6008693,127.04346,0.7,2
1761210505.633444,37.6008545,127.0434562,0.7,2
1761210507.637765,37.6008412,127.0434508,0.72,2
1761210509.642959,37.6008308,127.0434523,0.72,5
1761210511.647619,37.6008165,127.0434457,0.7,2
1761210513.652211,37.6008047,127.0434443,0.66,2
1761210515.657863,37.6007933,127.0434422,0.66,5
1761210517.661781,37.6007792,127.0434428,0.69,5
1761210519.666204,37.6007675,127.0434417,0.72,2
1761210521.671061,37.600755,127.0434417,0.79,2
1761210523.676527,37.6007435,127.043438,0.75,2
1761210525.681341,37.6007302,127.0434357,0.72,2
1761210527.685806,37.6007155,127.0434315,0.69,2
1761210529.690688,37.6007048,127.0434283,0.72,2
1761210531.693739,37.6006925,127.0434247,0.76,2
1761210533.698193,37.6006772,127.0434207,0.67,2
1761210535.703328,37.600665,127.0434128,0.65,2
1761210537.708445,37.6006533,127.043408,0.65,2
1761210539.713713,37.6006417,127.043406,0.65,2
1761210541.718737,37.60063,127.043412,0.68,5
1761210543.723414,37.6006155,127.0434098,0.68,2
1761210545.728565,37.6006015,127.0434055,0.74,2
1761210547.731595,37.6005853,127.0434013,0.72,2
1761210549.736002,37.600572,127.0433948,0.68,5
1761210551.741296,37.6005607,127.0433933,0.72,2
1761210553.746807,37.6005472,127.0433992,0.7,2
1761210555.752011,37.600534,127.0434027,0.74,5
1761210557.758054,37.6005202,127.0434023,0.75,2
1761210559.763103,37.6005045,127.043406,0.8,5
1761210561.768905,37.600494,127.0434088,0.8,5
1761210563.774399,37.6004833,127.0434112,0.76,2
1761210565.780558,37.6004758,127.0434128,0.77,5
1761210567.786269,37.6004713,127.0434143,0.64,5
1761210569.792251,37.6004583,127.043416,0.66,5
1761210571.798093,37.6004435,127.0434173,0.7,5
1761210573.804931,37.6004313,127.0434168,0.73,5
1761210575.809715,37.6004258,127.0434157,0.76,2
1761210577.815618,37.600421,127.0434165,0.74,5
1761210579.821453,37.6004107,127.043418,0.74,5
1761210581.827415,37.6003922,127.0434172,0.69,2
1761210583.833701,37.6003815,127.0434173,0.69,5
1761210585.837472,37.6003678,127.043422,0.74,5
1761210587.842225,37.6003535,127.0434225,0.76,2
1761210589.847893,37.6003435,127.0434233,0.72,2
1761210591.854078,37.600331,127.0434202,0.7,2
1761210593.859981,37.600321,127.0434212,0.7,5
1761210595.866125,37.6003078,127.0434178,0.71,2
1761210597.871824,37.6002942,127.0434125,0.74,2
1761210599.878332,37.6002787,127.0434088,0.7,2
1761210601.883877,37.600262,127.0434087,0.78,2
1761210603.887113,37.6002475,127.0434045,0.79,2
1761210605.892693,37.6002307,127.043402,0.76,2
1761210607.898093,37.6002167,127.0434002,0.72,2
1761210609.905668,37.6002078,127.0433985,0.71,2
1761210611.91079,37.6001932,127.0434003,0.71,2
1761210613.917147,37.6001778,127.0434007,0.71,2
1761210615.923112,37.6001603,127.0433987,0.71,2
1761210617.926951,37.6001438,127.0433975,0.68,2
1761210619.931982,37.6001373,127.0433953,0.7,2
1761210621.937492,37.6001252,127.0433983,0.7,5
1761210623.944411,37.6001122,127.043399,0.74,2
1761210625.950352,37.6000982,127.0433993,0.74,5
1761210627.956964,37.6000823,127.0433982,0.75,5
1761210629.961499,37.6000692,127.043399,0.82,5
1761210631.968725,37.6000532,127.0433977,0.82,2
1761210633.975177,37.6000355,127.0434025,0.82,5
1761210635.981083,37.6000212,127.0434025,0.82,5
1761210637.987154,37.6000077,127.0433993,0.77,5
1761210639.99352,37.5999957,127.0434015,0.77,2
1761210641.999496,37.5999838,127.0433992,0.77,2
1761210644.005894,37.5999712,127.0433995,0.75,5
1761210646.012063,37.5999533,127.0434012,0.77,2
1761210648.017887,37.5999362,127.0433978,0.74,2
1761210650.024256,37.5999232,127.0433957,0.81,2
1761210652.028342,37.599918,127.0433963,0.77,2
1761210654.033382,37.5999078,127.0433957,0.77,2
1761210656.03917,37.5998953,127.0433932,0.71,2
1761210658.042612,37.5998872,127.043394,0.71,2
1761210660.049139,37.5998725,127.0433963,0.67,2
1761210662.057495,37.5998568,127.0433972,0.67,2
1761210664.064626,37.5998437,127.0433973,0.71,2
1761210666.072126,37.5998148,127.0433977,0.68,2
1761210668.084051,37.599803,127.0434012,0.7,2
1761210670.091098,37.5997878,127.0434033,0.7,2
1761210672.0986,37.5997728,127.0434055,0.7,2
1761210674.105415,37.5997573,127.0434053,0.67,2
1761210676.113823,37.5997438,127.0434048,0.67,2
