time,lat,lon,hdop,quality
1761209663.134294,37.5991057,127.0435230,0.68,5
1761209664.138911,37.5991025,127.0435223,0.62,5
1761209665.141291,37.5990995,127.0435242,0.62,5
1761209666.144220,37.5990968,127.0435265,0.68,5
1761209667.151120,37.5990952,127.0435285,0.62,5
1761209668.154924,37.5990967,127.0435317,0.62,5
1761209669.158040,37.5990983,127.0435367,0.65,5
1761209670.160677,37.5991012,127.0435410,0.62,5
1761209671.165089,37.5991048,127.0435452,0.62,5
1761209672.170975,37.5991105,127.0435478,0.67,5
1761209673.174051,37.5991147,127.0435520,0.64,5
1761209674.178468,37.5991193,127.0435587,0.64,5
1761209675.181614,37.5991207,127.0435648,0.72,5
1761209676.184667,37.5991242,127.0435717,0.68,5
1761209677.187796,37.5991262,127.0435760,0.66,5
1761209678.192528,37.5991272,127.0435812,0.71,5
1761209679.194989,37.5991283,127.0435863,0.69,5
1761209680.198230,37.5991302,127.0435952,0.69,5
1761209681.202878,37.5991327,127.0436015,0.64,5
1761209682.204177,37.5991347,127.0436093,0.69,5
1761209683.209957,37.5991358,127.0436157,0.66,5
1761209684.213473,37.5991367,127.0436225,0.66,5
1761209685.215356,37.5991403,127.0436278,0.66,5
1761209686.218515,37.5991445,127.0436302,0.66,5
1761209687.221890,37.5991502,127.0436298,0.66,5
1761209688.226396,37.5991550,127.0436300,0.66,5
1761209689.228989,37.5991605,127.0436302,0.66,5
1761209690.232108,37.5991643,127.0436302,0.66,5
1761209691.235514,37.5991698,127.0436315,0.66,5
1761209692.238896,37.5991735,127.0436305,0.66,5
1761209693.241455,37.5991782,127.0436303,0.63,5
1761209694.243965,37.5991828,127.0436310,0.63,5
1761209695.247806,37.5991873,127.0436322,0.63,5
1761209696.249867,37.5991923,127.0436330,0.63,5
1761209697.252807,37.5991963,127.0436335,0.63,5
1761209698.256555,37.5992010,127.0436333,0.63,5
1761209699.258157,37.5992057,127.0436335,0.63,5
1761209700.260142,37.5992102,127.0436338,0.64,5
1761209701.263052,37.5992142,127.0436338,0.64,5
1761209702.265783,37.5992180,127.0436340,0.64,5
1761209703.268350,37.5992218,127.0436345,0.64,5
1761209704.270678,37.5992262,127.0436343,0.63,5
1761209705.273910,37.5992310,127.0436342,0.64,5
1761209706.276316,37.5992362,127.0436337,0.64,5
1761209707.280556,37.5992410,127.0436338,0.64,5
1761209708.284290,37.5992458,127.0436340,0.64,5
1761209709.287574,37.5992500,127.0436332,0.64,5
1761209710.289969,37.5992547,127.0436330,0.64,5
1761209711.294183,37.5992607,127.0436307,0.64,5
1761209712.298431,37.5992648,127.0436292,0.64,5
1761209713.301561,37.5992690,127.0436265,0.64,5
1761209714.304862,37.5992733,127.0436223,0.64,5
1761209715.307921,37.5992775,127.0436188,0.64,5
1761209716.311766,37.5992813,127.0436150,0.62,5
1761209717.313855,37.5992848,127.0436107,0.60,5
1761209718.316365,37.5992865,127.0436060,0.60,5
1761209719.318283,37.5992880,127.0436002,0.60,5
1761209720.321735,37.5992880,127.0435962,0.60,5
1761209721.325181,37.5992890,127.0435903,0.60,5
1761209722.328594,37.5992907,127.0435848,0.65,5
1761209723.332168,37.5992922,127.0435792,0.61,5
1761209724.335825,37.5992938,127.0435733,0.64,5
1761209725.338205,37.5992948,127.0435682,0.64,5
1761209726.340211,37.5992953,127.0435617,0.67,5
1761209727.342986,37.5992965,127.0435568,0.64,5
1761209728.346665,37.5992970,127.0435518,0.64,5
1761209729.349276,37.5992977,127.0435463,0.64,5
1761209730.352499,37.5992983,127.0435433,0.64,5
1761209731.355798,37.5993003,127.0435382,0.60,5
1761209732.358999,37.5993032,127.0435332,0.60,5
1761209733.361387,37.5993065,127.0435265,0.62,5
1761209734.362872,37.5993108,127.0435213,0.60,5
1761209735.364251,37.5993150,127.0435155,0.64,5
1761209736.366816,37.5993183,127.0435088,0.64,5
1761209737.368723,37.5993227,127.0435043,0.64,5
1761209738.371832,37.5993272,127.0435008,0.64,5
1761209739.375125,37.5993317,127.0434970,0.69,5
1761209740.378392,37.5993365,127.0434937,0.69,5
1761209741.381592,37.5993413,127.0434897,0.70,5
1761209742.384707,37.5993458,127.0434853,0.67,5
1761209743.387155,37.5993498,127.0434810,0.67,5
1761209744.391615,37.5993543,127.0434785,0.67,5
1761209745.394600,37.5993597,127.0434760,0.66,5
1761209746.397851,37.5993648,127.0434743,0.70,5
1761209747.401026,37.5993698,127.0434722,0.74,5
1761209748.404281,37.5993750,127.0434705,0.73,5
1761209749.407136,37.5993798,127.0434675,0.74,5
1761209750.410510,37.5993848,127.0434653,0.76,5
1761209751.414152,37.5993897,127.0434622,0.80,5
1761209752.417383,37.5993938,127.0434593,0.81,5
1761209753.420285,37.5993983,127.0434572,0.80,5
1761209754.426181,37.5994033,127.0434552,0.76,5
1761209755.427880,37.5994082,127.0434537,0.82,5
1761209756.430564,37.5994137,127.0434530,0.75,5
1761209757.433873,37.5994202,127.0434522,0.75,5
1761209758.436980,37.5994258,127.0434512,0.72,5
1761209759.440382,37.5994312,127.0434500,0.69,5
1761209760.442833,37.5994358,127.0434480,0.69,5
1761209761.445568,37.5994405,127.0434462,0.70,5
1761209762.448812,37.5994445,127.0434438,0.70,5
1761209763.451452,37.5994492,127.0434415,0.69,5
1761209764.453588,37.5994543,127.0434410,0.69,5
1761209765.456198,37.5994595,127.0434400,0.72,5
1761209766.459876,37.5994645,127.0434392,0.70,5
1761209767.462766,37.5994692,127.0434388,0.72,5
1761209768.466084,37.5994730,127.0434392,0.72,5
1761209769.469901,37.5994783,127.0434398,0.72,5
1761209770.472824,37.5994838,127.0434408,0.72,5
1761209771.476253,37.5994888,127.0434410,0.72,5
1761209772.479296,37.5994933,127.0434407,0.74,5
1761209773.482864,37.5994970,127.0434415,0.80,5
1761209774.485201,37.5995020,127.0434402,0.71,2
1761209775.489551,37.5995083,127.0434370,0.76,5
1761209776.492587,37.5995132,127.0434358,0.80,5
1761209777.495672,37.5995183,127.0434340,0.78,5
1761209778.499338,37.5995247,127.0434333,0.78,5
1761209779.501164,37.5995298,127.0434315,0.78,5
1761209780.505502,37.5995348,127.0434302,0.75,5
1761209781.508601,37.5995395,127.0434302,0.75,5
1761209782.511772,37.5995437,127.0434303,0.75,5
1761209783.513442,37.5995488,127.0434298,0.75,5
1761209784.514795,37.5995540,127.0434292,0.75,5
1761209785.518234,37.5995592,127.0434300,0.71,5
1761209786.521178,37.5995638,127.0434298,0.63,5
1761209787.523848,37.5995688,127.0434290,0.68,5
1761209788.526807,37.5995737,127.0434283,0.68,2
1761209789.530914,37.5995780,127.0434285,0.70,2
1761209790.533807,37.5995822,127.0434277,0.70,5
1761209791.536901,37.5995863,127.0434285,0.70,5
1761209792.540116,37.5995912,127.0434282,0.65,5
1761209793.542944,37.5995960,127.0434280,0.70,5
1761209794.547494,37.5996008,127.0434272,0.72,5
1761209795.550622,37.5996053,127.0434268,0.72,5
1761209796.552883,37.5996095,127.0434263,0.72,5
1761209797.555915,37.5996143,127.0434250,0.72,5
1761209798.559047,37.5996185,127.0434253,0.72,5
1761209799.561966,37.5996225,127.0434245,0.71,5
1761209800.565036,37.5996282,127.0434233,0.68,5
1761209801.568650,37.5996332,127.0434235,0.68,5
1761209802.571024,37.5996375,127.0434232,0.68,5
1761209803.575106,37.5996420,127.0434232,0.68,5
1761209804.578362,37.5996463,127.0434230,0.71,5
1761209805.581531,37.5996510,127.0434225,0.68,5
1761209806.584414,37.5996548,127.0434217,0.63,5
1761209807.587622,37.5996588,127.0434217,0.68,5
1761209808.590781,37.5996627,127.0434218,0.71,5
1761209809.593840,37.5996668,127.0434208,0.71,5
1761209810.597948,37.5996712,127.0434203,0.71,5
1761209811.600460,37.5996762,127.0434207,0.71,5
1761209812.603571,37.5996808,127.0434210,0.63,5
1761209813.605482,37.5996858,127.0434205,0.66,5
1761209814.608019,37.5996907,127.0434195,0.70,5
1761209815.610510,37.5996945,127.0434175,0.70,5
1761209816.614341,37.5996992,127.0434183,0.66,5
1761209817.616192,37.5997038,127.0434188,0.64,5
1761209818.618536,37.5997082,127.0434187,0.64,5
1761209819.622151,37.5997130,127.0434173,0.70,5
1761209820.626005,37.5997172,127.0434163,0.70,5
1761209821.628863,37.5997220,127.0434150,0.64,5
1761209822.632149,37.5997265,127.0434143,0.65,5
1761209823.635583,37.5997313,127.0434125,0.70,2
1761209824.638568,37.5997360,127.0434128,0.70,5
1761209825.641861,37.5997403,127.0434110,0.64,5
1761209826.645461,37.5997450,127.0434087,0.63,5
1761209827.648199,37.5997505,127.0434072,0.69,5
1761209828.651213,37.5997547,127.0434065,0.63,5
1761209829.654489,37.5997587,127.0434052,0.72,5
1761209830.657357,37.5997618,127.0434038,0.73,2
1761209831.660860,37.5997653,127.0434027,0.70,5
1761209832.663743,37.5997705,127.0434018,0.76,2
1761209833.667268,37.5997763,127.0434010,0.76,2
1761209834.669455,37.5997820,127.0433973,0.75,2
1761209835.672045,37.5997868,127.0433950,0.68,2
1761209836.674124,37.5997908,127.0433942,0.69,2
1761209837.677002,37.5997943,127.0433942,0.70,2
1761209838.680009,37.5997987,127.0433950,0.76,2
1761209839.683231,37.5998045,127.0433960,0.76,5
1761209840.686074,37.5998115,127.0433963,0.74,5
1761209841.689870,37.5998167,127.0433953,0.74,5
1761209842.692996,37.5998222,127.0433967,0.80,5
1761209843.696845,37.5998282,127.0433962,0.78,5
1761209844.700337,37.5998352,127.0433968,0.86,5
1761209845.701896,37.5998418,127.0433958,0.86,5
1761209846.704143,37.5998482,127.0433942,1.02,5
1761209847.706208,37.5998537,127.0433943,1.02,5
1761209848.708667,37.5998578,127.0433943,1.02,5
1761209849.711960,37.5998630,127.0433937,0.88,2
1761209850.714877,37.5998678,127.0433948,0.85,5
1761209851.718285,37.5998723,127.0433958,0.85,5
1761209852.721561,37.5998775,127.0433952,0.80,2
1761209853.724900,37.5998838,127.0433943,0.75,2
1761209854.727940,37.5998895,127.0433950,0.72,2
1761209855.729470,37.5998952,127.0433945,0.72,2
1761209856.731127,37.5999013,127.0433963,0.69,2
1761209857.732879,37.5999080,127.0433962,0.69,2
1761209858.734208,37.5999145,127.0433943,0.69,2
1761209859.735646,37.5999210,127.0433935,0.71,2
1761209860.736862,37.5999268,127.0433923,0.71,2
1761209861.740466,37.5999332,127.0433908,0.71,5
1761209862.742989,37.5999392,127.0433898,0.71,2
1761209863.744897,37.5999457,127.0433888,0.68,5
1761209864.748319,37.5999517,127.0433890,0.69,5
1761209865.750276,37.5999580,127.0433903,0.69,5
1761209866.752849,37.5999633,127.0433902,0.69,5
1761209867.755717,37.5999690,127.0433907,0.68,5
1761209868.757579,37.5999752,127.0433917,0.68,5
1761209869.759437,37.5999815,127.0433918,0.68,5
1761209870.762750,37.5999877,127.0433920,0.72,5
1761209871.765158,37.5999938,127.0433918,0.72,5
1761209872.769217,37.6000002,127.0433925,0.72,5
1761209873.772297,37.6000063,127.0433925,0.79,5
1761209874.775533,37.6000118,127.0433947,0.72,5
1761209875.778438,37.6000178,127.0433953,0.72,5
1761209876.780857,37.6000233,127.0433957,0.72,5
1761209877.783470,37.6000290,127.0433950,0.72,5
1761209878.785153,37.6000348,127.0433958,0.72,5
1761209879.788105,37.6000410,127.0433963,0.72,5
1761209880.791584,37.6000472,127.0433968,0.72,5
1761209881.794731,37.6000532,127.0433978,0.67,5
1761209882.798716,37.6000592,127.0433985,0.65,5
1761209883.801270,37.6000652,127.0433997,0.66,5
1761209884.803717,37.6000710,127.0433993,0.66,5
1761209885.807509,37.6000775,127.0433992,0.66,5
1761209886.809783,37.6000833,127.0433993,0.66,5
1761209887.812615,37.6000890,127.0433992,0.65,5
1761209888.817075,37.6000947,127.0433995,0.65,5
1761209889.820382,37.6001003,127.0433987,0.65,5
1761209890.823748,37.6001057,127.0433982,0.71,5
1761209891.825461,37.6001115,127.0433977,0.71,5
1761209892.828011,37.6001173,127.0433975,0.74,5
1761209893.830128,37.6001235,127.0433985,0.74,5
1761209894.832052,37.6001295,127.0433990,0.74,5
1761209895.836845,37.6001352,127.0434002,0.71,5
1761209896.839700,37.6001397,127.0434002,0.69,5
1761209897.841632,37.6001448,127.0433998,0.71,5
1761209898.845630,37.6001498,127.0434005,0.77,5
1761209899.849369,37.6001547,127.0433998,0.81,5
1761209900.851257,37.6001600,127.0433995,0.81,5
1761209901.855817,37.6001643,127.0434015,0.81,5
1761209902.858293,37.6001680,127.0434030,0.81,2
1761209903.860029,37.6001728,127.0434023,0.79,2
1761209904.862112,37.6001773,127.0434027,0.79,2
1761209905.865123,37.6001825,127.0434017,0.74,5
1761209906.868305,37.6001873,127.0434013,0.74,2
1761209907.872039,37.6001925,127.0433990,0.70,2
1761209908.875191,37.6001980,127.0433978,0.74,2
1761209909.878002,37.6002035,127.0433990,0.74,2
1761209910.881644,37.6002080,127.0433993,0.74,2
1761209911.884771,37.6002132,127.0433960,0.74,2
1761209912.887780,37.6002172,127.0433942,0.71,2
1761209913.891418,37.6002223,127.0433927,0.71,2
1761209914.893468,37.6002283,127.0433915,0.71,2
1761209915.898535,37.6002342,127.0433920,0.71,2
1761209916.901001,37.6002400,127.0433918,0.71,2
1761209917.904208,37.6002452,127.0433935,0.71,2
1761209918.907452,37.6002507,127.0433945,0.71,2
1761209919.910689,37.6002567,127.0433933,0.75,2
1761209920.914024,37.6002620,127.0433947,0.70,2
1761209921.917192,37.6002673,127.0433938,0.71,2
1761209922.920197,37.6002728,127.0433943,0.67,2
1761209923.923972,37.6002795,127.0433942,0.69,2
1761209924.926934,37.6002867,127.0433935,0.68,2
1761209925.930125,37.6002927,127.0433908,0.68,2
1761209926.932454,37.6002977,127.0433923,0.68,2
1761209927.936609,37.6003038,127.0433920,0.68,2
1761209928.939573,37.6003098,127.0433915,0.68,2
1761209929.943056,37.6003152,127.0433915,0.68,2
1761209930.948512,37.6003205,127.0433910,0.70,2
1761209931.951662,37.6003267,127.0433920,0.74,2
1761209932.954513,37.6003322,127.0433907,0.74,2
1761209933.957694,37.6003380,127.0433927,0.78,5
1761209934.959678,37.6003428,127.0433940,0.78,5
1761209935.962784,37.6003478,127.0433952,0.78,5
1761209936.965812,37.6003542,127.0433963,0.90,5
1761209937.968177,37.6003607,127.0433978,0.90,5
1761209938.972530,37.6003672,127.0433995,0.91,5
1761209939.975606,37.6003737,127.0434015,0.88,5
1761209940.979072,37.6003805,127.0434010,0.93,5
1761209941.982225,37.6003868,127.0434013,0.90,2
1761209942.985374,37.6003930,127.0433998,0.93,2
1761209943.989163,37.6003990,127.0434005,0.84,2
1761209944.992042,37.6004063,127.0434010,0.84,5
1761209945.993843,37.6004120,127.0434012,0.84,2
1761209946.997077,37.6004183,127.0434020,0.84,2
1761209948.000224,37.6004250,127.0434018,0.87,2
1761209949.002925,37.6004327,127.0434015,0.87,5
1761209950.004822,37.6004398,127.0434007,0.87,2
1761209951.008163,37.6004467,127.0434010,0.73,5
1761209952.011200,37.6004532,127.0434020,0.87,2
1761209953.014237,37.6004595,127.0434017,0.86,5
1761209954.017988,37.6004655,127.0434033,0.87,2
1761209955.022108,37.6004717,127.0434048,0.87,2
1761209956.024290,37.6004775,127.0434042,0.87,5
1761209957.027456,37.6004847,127.0434050,0.88,2
1761209958.029870,37.6004912,127.0434065,0.81,2
1761209959.033987,37.6004982,127.0434055,0.87,2
1761209960.037074,37.6005043,127.0434058,0.88,2
1761209961.039503,37.6005093,127.0434052,0.87,2
1761209962.044146,37.6005143,127.0434063,0.87,2
1761209963.048773,37.6005198,127.0434067,0.87,5
1761209964.050196,37.6005250,127.0434072,0.77,5
1761209965.053425,37.6005310,127.0434075,0.78,5
1761209966.056664,37.6005360,127.0434062,0.83,2
1761209967.059558,37.6005408,127.0434067,0.83,2
1761209968.063402,37.6005457,127.0434082,0.81,2
1761209969.066411,37.6005517,127.0434083,0.74,2
1761209970.069282,37.6005575,127.0434090,0.77,5
1761209971.072067,37.6005628,127.0434107,0.77,2
1761209972.074604,37.6005680,127.0434125,0.79,2
1761209973.076236,37.6005740,127.0434153,0.79,5
1761209974.080386,37.6005798,127.0434205,0.86,2
1761209975.085139,37.6005847,127.0434210,0.86,2
1761209976.092522,37.6005902,127.0434195,0.86,5
1761209977.095468,37.6006005,127.0434222,0.76,5
1761209978.099090,37.6006053,127.0434217,0.86,5
1761209979.102053,37.6006107,127.0434217,0.89,5
1761209980.105793,37.6006168,127.0434238,0.89,5
1761209981.110923,37.6006223,127.0434240,0.91,5
1761209982.114259,37.6006278,127.0434232,0.81,5
1761209983.120094,37.6006328,127.0434257,0.81,5
1761209984.122184,37.6006380,127.0434265,0.81,5
1761209985.125510,37.6006427,127.0434275,0.78,5
1761209986.128635,37.6006480,127.0434278,0.78,5
1761209987.131162,37.6006538,127.0434283,0.78,5
1761209988.132986,37.6006595,127.0434285,0.76,5
1761209989.137073,37.6006653,127.0434295,0.72,5
1761209990.140813,37.6006713,127.0434297,0.72,5
1761209991.146869,37.6006762,127.0434303,0.72,2
1761209992.150448,37.6006815,127.0434298,0.72,2
1761209993.153478,37.6006863,127.0434290,0.91,2
1761209994.156414,37.6006922,127.0434283,0.77,2
1761209995.158113,37.6006975,127.0434277,0.91,2
1761209996.161062,37.6007015,127.0434262,0.91,2
1761209997.164239,37.6007065,127.0434227,0.93,2
1761209998.169519,37.6007122,127.0434228,0.88,2
1761209999.171249,37.6007175,127.0434230,0.88,5
1761210000.174426,37.6007225,127.0434228,0.90,2
1761210001.179504,37.6007277,127.0434215,0.88,2
1761210002.181573,37.6007337,127.0434200,0.93,2
1761210003.185099,37.6007385,127.0434242,0.86,2
1761210004.187313,37.6007445,127.0434220,0.84,2
1761210005.191269,37.6007500,127.0434207,0.79,2
1761210006.195596,37.6007560,127.0434217,0.74,2
1761210007.200988,37.6007622,127.0434203,0.76,2
1761210008.204293,37.6007678,127.0434185,0.74,2
1761210009.208104,37.6007727,127.0434165,0.74,2
1761210010.211535,37.6007782,127.0434143,0.72,2
1761210011.215921,37.6007847,127.0434128,0.72,5
1761210012.217734,37.6007897,127.0434138,0.72,2
1761210013.220296,37.6007957,127.0434145,0.72,2
1761210014.223870,37.6008015,127.0434175,0.72,5
1761210015.227402,37.6008065,127.0434192,0.72,2
