time,lat,lon,hdop,quality
1761617001.029564,37.5992725,127.0436248,0.60,2
1761617002.035278,37.5992727,127.0436245,0.60,2
1761617003.037293,37.5992727,127.0436243,0.60,2
1761617004.043513,37.5992753,127.0436202,0.89,2
1761617005.047129,37.5992780,127.0436158,0.89,5
1761617006.049395,37.5992783,127.0436150,0.89,5
1761617007.052246,37.5992782,127.0436150,0.89,5
1761617008.055910,37.5992773,127.0436145,0.89,5
1761617009.058213,37.5992770,127.0436142,0.89,5
1761617010.060999,37.5992770,127.0436137,0.89,5
1761617011.062529,37.5992775,127.0436148,0.89,5
1761617012.067465,37.5992743,127.0436170,0.89,2
1761617013.070270,37.5992723,127.0436232,0.89,5
1761617014.073711,37.5992698,127.0436278,0.89,2
1761617015.076331,37.5992658,127.0436308,0.89,2
1761617016.080653,37.5992582,127.0436283,0.89,2
1761617017.083155,37.5992523,127.0436247,0.89,2
1761617018.085513,37.5992452,127.0436242,0.89,2
1761617019.088725,37.5992387,127.0436207,0.89,2
1761617020.093506,37.5992337,127.0436190,0.89,2
1761617021.098714,37.5992285,127.0436197,0.89,2
1761617022.103095,37.5992228,127.0436197,0.89,2
1761617023.107472,37.5992152,127.0436175,0.89,2
1761617024.110825,37.5992082,127.0436152,0.89,2
1761617025.114677,37.5992010,127.0436140,0.89,2
1761617026.116786,37.5991963,127.0436107,0.82,2
1761617027.120019,37.5991902,127.0436085,0.78,2
1761617028.122773,37.5991837,127.0436078,0.78,2
1761617029.128338,37.5991787,127.0436050,0.78,2
1761617030.132103,37.5991753,127.0436027,0.82,2
1761617031.135210,37.5991708,127.0436002,0.82,2
1761617032.138433,37.5991648,127.0435973,0.82,2
1761617033.142437,37.5991573,127.0435955,0.78,2
1761617034.144985,37.5991513,127.0435938,0.78,2
1761617035.147675,37.5991458,127.0435918,0.78,2
1761617036.150746,37.5991398,127.0435908,0.78,2
1761617037.153702,37.5991330,127.0435893,0.78,2
1761617038.157259,37.5991268,127.0435888,0.78,5
1761617039.159714,37.5991212,127.0435940,0.78,2
1761617040.162969,37.5991170,127.0436012,0.78,2
1761617041.166195,37.5991143,127.0436082,0.78,2
1761617042.168783,37.5991138,127.0436142,0.78,2
1761617043.172029,37.5991122,127.0436200,0.78,2
1761617044.175060,37.5991117,127.0436287,0.78,2
1761617045.178049,37.5991107,127.0436375,0.78,2
1761617046.180974,37.5991085,127.0436465,0.78,2
1761617047.182771,37.5991053,127.0436532,0.78,2
1761617048.186687,37.5991033,127.0436615,0.78,2
1761617049.189706,37.5991023,127.0436707,0.78,2
1761617050.194453,37.5991012,127.0436805,0.78,2
